UniProt	Predikcija
P32317	GO:0005739
Q920A7	GO:0005739
Q9Y4W6	GO:0005739
Q8JZQ2	GO:0005739
P39925	GO:0005739
Q99490	GO:0005739
Q53H12	GO:0005739
Q9ESW4	GO:0005739
P57750	GO:0005739
Q9QZ81	GO:0005739
Q7PLK0	GO:0005739
O88312	GO:0005739
Q940M2	GO:0005739
Q9BYV1	GO:0005739
Q3UEG6	GO:0005739
Q64565	GO:0005739
Q8VYJ2	GO:0005739
P03875	GO:0005739
P03876	GO:0005739
Q9ZZX0	GO:0005739
P52923	GO:0005739
Q9GRX6	GO:0005739
Q9VQ79	GO:0005739
O95831	GO:0005739
Q9Z0X1	GO:0005739
Q9JM53	GO:0005739
Q9BRQ8	GO:0005739
Q8BUE4	GO:0005739
Q96NN9	GO:0005739
Q9UUF4	GO:0005739
P40502	GO:0005739
P47127	GO:0005739
P32858	GO:0005739
C9JRZ8	GO:0005739
O88845	GO:0005739
Q92667	GO:0005739
O08715	GO:0005739
O88884	GO:0005739
Q63014	GO:0005739
Q9NWT8	GO:0005739
Q9DCJ7	GO:0005739
P31750	GO:0005739
Q8VZC3	GO:0005739
P30837	GO:0005739
Q9CZS1	GO:0005739
Q8R0Y6	GO:0005739
Q3SY69	GO:0005739
Q8K009	GO:0005739
Q9SU63	GO:0005739
P47740	GO:0005739
P30038	GO:0005739
Q8CHT0	GO:0005739
P49419	GO:0005739
Q9DBF1	GO:0005739
Q9JLJ2	GO:0005739
P52893	GO:0005739
F4I7I0	GO:0005739
Q8TD30	GO:0005739
Q8BGT5	GO:0005739
Q0WUC5	GO:0005739
P21300	GO:0005739
P05091	GO:0005739
P47738	GO:0005739
P11884	GO:0005739
P46367	GO:0005739
P54115	GO:0005739
P05065	GO:0005739
P05063	GO:0005739
Q9ZU52	GO:0005739
P14540	GO:0005739
P54889	GO:0005739
Q13686	GO:0005739
Q96Q83	GO:0005739
Q9BT30	GO:0005739
Q9D6Z0	GO:0005739
O93852	GO:0005739
Q9HDX8	GO:0005739
P54783	GO:0005739
P55789	GO:0005739
P56213	GO:0005739
Q63042	GO:0005739
Q9UHK6	GO:0005739
O09174	GO:0005739
P70473	GO:0005739
O80452	GO:0005739
Q9CPY7	GO:0005739
Q9C0C7	GO:0005739
Q9QZ10	GO:0005739
P07150	GO:0005739
P79134	GO:0005739
Q9SYT0	GO:0005739
P21397	GO:0005739
Q64133	GO:0005739
P21396	GO:0005739
P27338	GO:0005739
Q8BW75	GO:0005739
P19643	GO:0005739
Q39219	GO:0005739
O23913	GO:0005739
O22048	GO:0005739
O22049	GO:0005739
Q9P959	GO:0005739
Q26710	GO:0005739
Q92754	GO:0005739
P84091	GO:0005739
P50583	GO:0005739
P56380	GO:0005739
P27695	GO:0005739
P43138	GO:0005739
Q68G58	GO:0005739
P22936	GO:0005739
Q9CQW7	GO:0005739
F7VJQ1	GO:0005739
Q93WK5	GO:0005739
Q13794	GO:0005739
Q9JM54	GO:0005739
Q5U777	GO:0005739
Q9S7D8	GO:0005739
Q42564	GO:0005739
Q42592	GO:0005739
Q32PC9	GO:0005739
Q9Y2Y0	GO:0005739
Q4V8C5	GO:0005739
P04627	GO:0005739
Q8N726	GO:0005739
P31318	GO:0005739
Q01217	GO:0005739
O74548	GO:0005739
P18544	GO:0005739
P07824	GO:0005739
Q9ZPF5	GO:0005739
P78540	GO:0005739
O08691	GO:0005739
O08701	GO:0005739
O94346	GO:0005739
Q04728	GO:0005739
Q9NWB6	GO:0005739
Q8CG72	GO:0005739
Q8CG76	GO:0005739
Q2TA37	GO:0005739
P36404	GO:0005739
O08697	GO:0005739
P20673	GO:0005739
Q9D0L7	GO:0005739
Q9D7A8	GO:0005739
Q6J5K9	GO:0005739
P0C7Q2	GO:0005739
Q8BHS6	GO:0005739
P29976	GO:0005739
P32381	GO:0005739
Q05933	GO:0005739
P40518	GO:0005739
P50430	GO:0005739
Q91WU5	GO:0005739
Q9NR71	GO:0005739
Q9JHE3	GO:0005739
Q9ULZ3	GO:0005739
Q9FLD5	GO:0005739
P16460	GO:0005739
P09034	GO:0005739
O14061	GO:0005739
Q8TBG4	GO:0005739
Q8IUZ5	GO:0005739
Q8R1K4	GO:0005739
Q5VTU8	GO:0005739
P13619	GO:0005739
Q94516	GO:0005739
P24539	GO:0005739
Q9CQQ7	GO:0005739
P19511	GO:0005739
P32876	GO:0005739
P05496	GO:0005739
Q9CR84	GO:0005739
Q06645	GO:0005739
Q06055	GO:0005739
P56383	GO:0005739
P48201	GO:0005739
P56384	GO:0005739
Q7Z4Y8	GO:0005739
Q9D7K5	GO:0005739
Q9D5T0	GO:0005739
Q20748	GO:0005739
Q925I1	GO:0005739
Q8BHE3	GO:0005739
Q9NVI7	GO:0005739
P15336	GO:0005739
O75143	GO:0005739
P46989	GO:0005739
P40458	GO:0005739
Q06485	GO:0005739
Q12142	GO:0005739
P01096	GO:0005739
Q9UII2	GO:0005739
O44441	GO:0005739
P01097	GO:0005739
O14286	GO:0005739
P40416	GO:0005739
Q09836	GO:0005739
P18496	GO:0005739
P87127	GO:0005739
P32453	GO:0005739
Q9UT16	GO:0005739
P22135	GO:0005739
O59673	GO:0005739
Q12349	GO:0005739
O13931	GO:0005739
P81450	GO:0005739
P81451	GO:0005739
P50273	GO:0005739
P53722	GO:0005739
Q09726	GO:0005739
Q03153	GO:0005739
Q96252	GO:0005739
Q96253	GO:0005739
P05632	GO:0005739
P34539	GO:0005739
P56381	GO:0005739
P56382	GO:0005739
P29418	GO:0005739
P87316	GO:0005739
P21306	GO:0005739
Q9FT52	GO:0005739
P13620	GO:0005739
Q24251	GO:0005739
O75947	GO:0005739
Q9DCX2	GO:0005739
P31399	GO:0005739
Q00361	GO:0005739
P56385	GO:0005739
Q06185	GO:0005739
P29419	GO:0005739
P02721	GO:0005739
Q24407	GO:0005739
P18859	GO:0005739
P97450	GO:0005739
P21571	GO:0005739
Q28852	GO:0005739
O75964	GO:0005739
Q9CPQ8	GO:0005739
Q6PDU7	GO:0005739
Q99766	GO:0005739
Q9CRA7	GO:0005739
P00847	GO:0005739
P00846	GO:0005739
P00848	GO:0005739
P00854	GO:0005739
Q9SJ12	GO:0005739
O94390	GO:0005739
P30902	GO:0005739
P03929	GO:0005739
P0CY41	GO:0005739
P03928	GO:0005739
P03930	GO:0005739
P11608	GO:0005739
P00856	GO:0005739
P0C518	GO:0005739
P0C519	GO:0005739
P61829	GO:0005739
P0C520	GO:0005739
P0C521	GO:0005739
P0C522	GO:0005739
P19483	GO:0005739
Q9XXK1	GO:0005739
P35381	GO:0005739
P25705	GO:0005739
Q03265	GO:0005739
P15999	GO:0005739
P24487	GO:0005739
P07251	GO:0005739
P83484	GO:0005739
Q9C5A9	GO:0005739
P00829	GO:0005739
P46561	GO:0005739
Q05825	GO:0005739
P06576	GO:0005739
P56480	GO:0005739
P10719	GO:0005739
P22068	GO:0005739
P00830	GO:0005739
P05630	GO:0005739
Q09544	GO:0005739
P30049	GO:0005739
Q9D3D9	GO:0005739
P35434	GO:0005739
Q9P6R6	GO:0005739
Q12165	GO:0005739
Q811I0	GO:0005739
Q91YY4	GO:0005739
O94373	GO:0005739
P05626	GO:0005739
Q96250	GO:0005739
P05631	GO:0005739
O01666	GO:0005739
P36542	GO:0005739
Q91VR2	GO:0005739
P35435	GO:0005739
O74754	GO:0005739
P38077	GO:0005739
P81449	GO:0005739
Q28851	GO:0005739
Q9W141	GO:0005739
P56134	GO:0005739
P56135	GO:0005739
D3ZAF6	GO:0005739
O94377	GO:0005739
Q06405	GO:0005739
Q18803	GO:0005739
Q09774	GO:0005739
Q12233	GO:0005739
Q96251	GO:0005739
P13621	GO:0005739
Q24439	GO:0005739
P48047	GO:0005739
Q9DB20	GO:0005739
Q06647	GO:0005739
P09457	GO:0005739
Q8QZR1	GO:0005739
P04694	GO:0005739
Q9CVD2	GO:0005739
Q13825	GO:0005739
P31414	GO:0005739
Q9FZ33	GO:0005739
Q8BVM4	GO:0005739
Q09189	GO:0005739
Q07817	GO:0005739
Q64373	GO:0005739
P53563	GO:0005739
P70345	GO:0005739
Q9HD36	GO:0005739
O43521	GO:0005739
O54918	GO:0005739
O88498	GO:0005739
P59017	GO:0005739
Q9CA93	GO:0005739
Q92934	GO:0005739
Q61337	GO:0005739
O35147	GO:0005739
Q0WUQ1	GO:0005739
B0K019	GO:0005739
Q9UL15	GO:0005739
Q16611	GO:0005739
O08734	GO:0005739
P35613	GO:0005739
P26453	GO:0005739
Q9ZU50	GO:0005739
Q07812	GO:0005739
Q07813	GO:0005739
Q63690	GO:0005739
Q96PG8	GO:0005739
Q9BXH1	GO:0005739
Q80ZG6	GO:0005739
O14370	GO:0005739
P38891	GO:0005739
Q9C6F5	GO:0005739
Q93Y32	GO:0005739
P24288	GO:0005739
O15382	GO:0005739
O35855	GO:0005739
O35854	GO:0005739
P54688	GO:0005739
Q9BYV7	GO:0005739
Q99NF1	GO:0005739
O14874	GO:0005739
O55028	GO:0005739
Q00972	GO:0005739
P10415	GO:0005739
P10417	GO:0005739
P49950	GO:0005739
Q6W2J9	GO:0005739
Q9Y276	GO:0005739
Q9CZP5	GO:0005739
Q9P6Q3	GO:0005739
P32839	GO:0005739
Q02337	GO:0005739
Q02338	GO:0005739
Q80XN0	GO:0005739
P29147	GO:0005739
P23363	GO:0005739
Q12934	GO:0005739
Q9C707	GO:0005739
P55061	GO:0005739
P55957	GO:0005739
P70444	GO:0005739
Q9JLT6	GO:0005739
O70337	GO:0005739
O59778	GO:0005739
B0F481	GO:0005739
P78537	GO:0005739
O55102	GO:0005739
Q6QNY1	GO:0005739
Q96LC9	GO:0005739
P47039	GO:0005739
O60238	GO:0005739
Q09969	GO:0005739
Q12983	GO:0005739
O55003	GO:0005739
Q924Y0	GO:0005739
Q9UMX3	GO:0005739
Q792S6	GO:0005739
Q9D8S9	GO:0005739
Q9LF68	GO:0005739
Q7L3V2	GO:0005739
Q86WA6	GO:0005739
Q8R164	GO:0005739
Q920N2	GO:0005739
P28028	GO:0005739
Q7Y1C4	GO:0005739
O54952	GO:0005739
Q9H0E9	GO:0005739
Q8RXD6	GO:0005739
Q8WY22	GO:0005739
Q9SUV1	GO:0005739
Q9LV81	GO:0005739
P43251	GO:0005739
Q18885	GO:0005739
P48558	GO:0005739
P15538	GO:0005739
P15393	GO:0005739
P19099	GO:0005739
P15539	GO:0005739
Q07021	GO:0005739
O35658	GO:0005739
P11586	GO:0005739
Q922D8	GO:0005739
Q6UB35	GO:0005739
Q3V3R1	GO:0005739
O43007	GO:0005739
P09440	GO:0005739
Q9EQG9	GO:0005739
P41956	GO:0005739
Q99643	GO:0005739
Q9CZB0	GO:0005739
D0VWV4	GO:0005739
O65787	GO:0005739
O65782	GO:0005739
Q9UKL3	GO:0005739
O22203	GO:0005739
Q68FX6	GO:0005739
P80235	GO:0005739
P43155	GO:0005739
P47934	GO:0005739
Q704S8	GO:0005739
P32796	GO:0005739
Q8CAK1	GO:0005739
Q09929	GO:0005739
P47158	GO:0005739
Q8VYD9	GO:0005739
Q9FFU1	GO:0005739
P36130	GO:0005739
P35218	GO:0005739
P23589	GO:0005739
P43165	GO:0005739
Q9Y2D0	GO:0005739
Q9QZA0	GO:0005739
O04151	GO:0005739
Q38858	GO:0005739
P29402	GO:0005739
Q9HC96	GO:0005739
Q9ES66	GO:0005739
O35350	GO:0005739
P53615	GO:0005739
Q9D3A8	GO:0005739
Q6IMN6	GO:0005739
O94313	GO:0005739
O02002	GO:0005739
P55215	GO:0005739
P49662	GO:0005739
Q14790	GO:0005739
O89110	GO:0005739
P31415	GO:0005739
O09165	GO:0005739
Q9FN48	GO:0005739
Q96528	GO:0005739
P25819	GO:0005739
Q42547	GO:0005739
P24270	GO:0005739
P04762	GO:0005739
P15202	GO:0005739
P10605	GO:0005739
P00787	GO:0005739
P18242	GO:0005739
P41350	GO:0005739
Q8VZ87	GO:0005739
P07252	GO:0005739
P03874	GO:0005739
P21560	GO:0005739
Q9USV6	GO:0005739
P37267	GO:0005739
O43089	GO:0005739
P07253	GO:0005739
Q641K1	GO:0005739
P08074	GO:0005739
Q8N4T8	GO:0005739
Q91VT4	GO:0005739
P14066	GO:0005739
P14905	GO:0005739
Q9LEV3	GO:0005739
Q3TVA9	GO:0005739
Q9GZT6	GO:0005739
Q8C3X2	GO:0005739
Q9P4S5	GO:0005739
P21269	GO:0005739
Q8N163	GO:0005739
Q96ER9	GO:0005739
Q3URS9	GO:0005739
Q8R3Q6	GO:0005739
Q10423	GO:0005739
Q03702	GO:0005739
P53703	GO:0005739
P53701	GO:0005739
P53702	GO:0005739
O74794	GO:0005739
P06182	GO:0005739
O42955	GO:0005739
P48237	GO:0005739
Q9T6H8	GO:0005739
Q33884	GO:0005739
P93286	GO:0005739
Q9XI46	GO:0005739
P00431	GO:0005739
P40202	GO:0005739
Q07969	GO:0005739
Q8GY31	GO:0005739
P25694	GO:0005739
P06493	GO:0005739
P50613	GO:0005739
O95674	GO:0005739
P40382	GO:0005739
Q91WM2	GO:0005739
P30429	GO:0005739
P41958	GO:0005739
Q8K4Q7	GO:0005739
Q9P0P8	GO:0005739
Q9CQF4	GO:0005739
Q9CR13	GO:0005739
Q8VE95	GO:0005739
O65282	GO:0005739
P34893	GO:0005739
P61604	GO:0005739
P26772	GO:0005739
O59804	GO:0005739
P38910	GO:0005739
P29197	GO:0005739
Q8L7B5	GO:0005739
Q93ZM7	GO:0005739
P50140	GO:0005739
Q54J97	GO:0005739
O02649	GO:0005739
P10809	GO:0005739
P63038	GO:0005739
P63039	GO:0005739
Q8WYQ3	GO:0005739
Q96BP2	GO:0005739
Q9CQA6	GO:0005739
Q9Y6H1	GO:0005739
Q9D1L0	GO:0005739
Q8K2Q5	GO:0005739
Q8NE62	GO:0005739
Q8BJ64	GO:0005739
Q6UPE0	GO:0005739
Q9FNB0	GO:0005739
Q9UQN3	GO:0005739
Q9Y375	GO:0005739
Q9CWX2	GO:0005739
O42636	GO:0005739
O74982	GO:0005739
O70302	GO:0005739
Q9NZ45	GO:0005739
Q91WS0	GO:0005739
Q9CQB5	GO:0005739
B1AR13	GO:0005739
P00890	GO:0005739
P43635	GO:0005739
P20115	GO:0005739
Q9M1D3	GO:0005739
P34575	GO:0005739
Q9W401	GO:0005739
O00098	GO:0005739
O75390	GO:0005739
Q9CZU6	GO:0005739
Q8VHF5	GO:0005739
Q10306	GO:0005739
Q8BTW8	GO:0005739
Q03059	GO:0005739
P53264	GO:0005739
Q68FD5	GO:0005739
Q9Z1Q5	GO:0005739
Q9Y696	GO:0005739
Q9QYB1	GO:0005739
Q13286	GO:0005739
Q0E3C8	GO:0005739
Q8VYJ7	GO:0005739
Q60649	GO:0005739
Q9FI56	GO:0005739
Q9SXJ7	GO:0005739
Q27539	GO:0005739
Q9FN42	GO:0005739
Q16740	GO:0005739
O88696	GO:0005739
Q9FK07	GO:0005739
O76031	GO:0005739
Q9JHS4	GO:0005739
P38323	GO:0005739
Q93YW7	GO:0005739
P10909	GO:0005739
A1ZAB5	GO:0005739
Q8R4N0	GO:0005739
Q10241	GO:0005739
O75746	GO:0005739
Q8BH59	GO:0005739
Q9UJS0	GO:0005739
Q9QXX4	GO:0005739
P56277	GO:0005739
Q61908	GO:0005739
Q3E7A9	GO:0005739
Q9VA73	GO:0005739
Q9ZQE6	GO:0005739
Q9JIZ0	GO:0005739
Q5EBM0	GO:0005739
Q8BIG7	GO:0005739
Q8BH86	GO:0005739
P13233	GO:0005739
Q39055	GO:0005739
Q39056	GO:0005739
Q9UTM2	GO:0005739
Q9GZY4	GO:0005739
O14320	GO:0005739
P40452	GO:0005739
Q3E823	GO:0005739
P0DKM0	GO:0005739
Q9Y2R0	GO:0005739
Q9D2R6	GO:0005739
Q3E7B2	GO:0005739
Q05809	GO:0005739
Q86WW8	GO:0005739
Q99M07	GO:0005739
Q5JTJ3	GO:0005739
Q8BGD8	GO:0005739
Q3E846	GO:0005739
Q13057	GO:0005739
O88587	GO:0005739
O62246	GO:0005739
Q9USM9	GO:0005739
Q08058	GO:0005739
Q05892	GO:0005739
P18900	GO:0005739
Q96H96	GO:0005739
Q66JT7	GO:0005739
Q10252	GO:0005739
P32378	GO:0005739
O49354	GO:0005739
Q9NZJ6	GO:0005739
Q8BMS4	GO:0005739
Q63159	GO:0005739
O74421	GO:0005739
P27680	GO:0005739
Q54CZ2	GO:0005739
Q9Y3A0	GO:0005739
Q8BGB8	GO:0005739
O94453	GO:0005739
O13525	GO:0005739
Q9LVC8	GO:0005739
Q9CXI0	GO:0005739
P87230	GO:0005739
P49017	GO:0005739
Q9Y2Z9	GO:0005739
Q8R1S0	GO:0005739
Q9Y7Z9	GO:0005739
P53318	GO:0005739
P48376	GO:0005739
Q99807	GO:0005739
P97478	GO:0005739
O74826	GO:0005739
P41735	GO:0005739
P27697	GO:0005739
O75208	GO:0005739
Q8K1Z0	GO:0005739
O13850	GO:0005739
Q05779	GO:0005739
Q12887	GO:0005739
Q8CFY5	GO:0005739
Q9Y7Y4	GO:0005739
Q8GWR0	GO:0005739
Q9Y6N1	GO:0005739
Q6P8I6	GO:0005739
P19516	GO:0005739
Q01519	GO:0005739
O74471	GO:0005739
P32799	GO:0005739
Q96I36	GO:0005739
Q8BH51	GO:0005739
P39103	GO:0005739
Q9FKT8	GO:0005739
Q7KZN9	GO:0005739
Q8BJ03	GO:0005739
P40086	GO:0005739
Q9CR63	GO:0005739
Q9UTK1	GO:0005739
P47081	GO:0005739
Q14061	GO:0005739
P56394	GO:0005739
Q12287	GO:0005739
Q8N8Q8	GO:0005739
Q8VC74	GO:0005739
O94587	GO:0005739
P53239	GO:0005739
Q3E731	GO:0005739
P00395	GO:0005739
P00397	GO:0005739
P05503	GO:0005739
P00401	GO:0005739
Q5RI15	GO:0005739
Q9D7J4	GO:0005739
Q04935	GO:0005739
P38824	GO:0005739
Q9P7H5	GO:0005739
P32344	GO:0005739
P00403	GO:0005739
P00405	GO:0005739
P21534	GO:0005739
P00410	GO:0005739
P00414	GO:0005739
P00416	GO:0005739
P00420	GO:0005739
P00423	GO:0005739
P13073	GO:0005739
P19783	GO:0005739
Q96KJ9	GO:0005739
Q91W29	GO:0005739
Q91Y94	GO:0005739
P79010	GO:0005739
P04037	GO:0005739
Q94514	GO:0005739
P20674	GO:0005739
P12787	GO:0005739
P83012	GO:0005739
P00424	GO:0005739
P10606	GO:0005739
P19536	GO:0005739
P00425	GO:0005739
O74988	GO:0005739
Q9T070	GO:0005739
Q20779	GO:0005739
P09669	GO:0005739
Q9CPQ1	GO:0005739
Q9UTF6	GO:0005739
P00427	GO:0005739
Q9VHS2	GO:0005739
P24311	GO:0005739
P56393	GO:0005739
P15954	GO:0005739
P17665	GO:0005739
O14548	GO:0005739
Q61387	GO:0005739
P10174	GO:0005739
P10176	GO:0005739
Q64445	GO:0005739
P80433	GO:0005739
P48772	GO:0005739
Q7Z4L0	GO:0005739
A6H666	GO:0005739
Q9P4W1	GO:0005739
P04039	GO:0005739
O94705	GO:0005739
P07255	GO:0005739
Q9CPZ8	GO:0005739
P36064	GO:0005739
Q9NRP2	GO:0005739
Q3E7A4	GO:0005739
P00189	GO:0005739
P05108	GO:0005739
Q9QZ82	GO:0005739
P14137	GO:0005739
P27786	GO:0005739
Q38867	GO:0005739
P00185	GO:0005739
Q64429	GO:0005739
Q07973	GO:0005739
Q64441	GO:0005739
Q09128	GO:0005739
Q02318	GO:0005739
Q9DBG1	GO:0005739
P17178	GO:0005739
O15528	GO:0005739
O35084	GO:0005739
O35132	GO:0005739
P10635	GO:0005739
A0A087X1C5	GO:0005739
P05182	GO:0005739
Q9NGX9	GO:0005739
Q9VUF8	GO:0005739
Q9VGH1	GO:0005739
Q96242	GO:0005739
P21238	GO:0005739
Q9LJE4	GO:0005739
Q9FN50	GO:0005739
P31327	GO:0005739
Q8C196	GO:0005739
P07756	GO:0005739
P50416	GO:0005739
P97742	GO:0005739
P32198	GO:0005739
Q92523	GO:0005739
Q924X2	GO:0005739
Q63704	GO:0005739
Q8BGD5	GO:0005739
P17898	GO:0005739
P23786	GO:0005739
P52825	GO:0005739
P18886	GO:0005739
A2AMZ4	GO:0005739
Q3THF9	GO:0005739
Q12289	GO:0005739
P15337	GO:0005739
Q3E9X6	GO:0005739
Q9UJA2	GO:0005739
Q80ZM8	GO:0005739
P97784	GO:0005739
Q9R194	GO:0005739
P23927	GO:0005739
O54983	GO:0005739
Q9NSK7	GO:0005739
Q91W50	GO:0005739
Q9CQT9	GO:0005739
Q8WWI5	GO:0005739
O23614	GO:0005739
Q99J10	GO:0005739
Q2VPK5	GO:0005739
O43822	GO:0005739
Q9LW15	GO:0005739
Q9SSB8	GO:0005739
O22912	GO:0005739
P12074	GO:0005739
P43024	GO:0005739
P43023	GO:0005739
Q9S7L9	GO:0005739
P14854	GO:0005739
P56391	GO:0005739
Q6YFQ2	GO:0005739
Q80ZN9	GO:0005739
P11951	GO:0005739
P24310	GO:0005739
P56392	GO:0005739
P48771	GO:0005739
P17302	GO:0005739
Q29101	GO:0005739
P08050	GO:0005739
P08574	GO:0005739
Q9D0M3	GO:0005739
O59680	GO:0005739
P07143	GO:0005739
Q61462	GO:0005739
Q61093	GO:0005739
P08678	GO:0005739
P00175	GO:0005739
Q9USM6	GO:0005739
Q9CQX2	GO:0005739
P04166	GO:0005739
P19967	GO:0005739
P00167	GO:0005739
P56395	GO:0005739
P00156	GO:0005739
P00158	GO:0005739
P0C523	GO:0005739
P0C524	GO:0005739
P00159	GO:0005739
P05501	GO:0005739
P00163	GO:0005739
Q9LK29	GO:0005739
Q9FKS5	GO:0005739
O23138	GO:0005739
P04657	GO:0005739
P00044	GO:0005739
P84029	GO:0005739
P00015	GO:0005739
P38909	GO:0005739
P00045	GO:0005739
P53698	GO:0005739
P99999	GO:0005739
P62897	GO:0005739
P62898	GO:0005739
O42908	GO:0005739
P32898	GO:0005739
P52009	GO:0005739
P25719	GO:0005739
P14832	GO:0005739
Q10341	GO:0005739
Q9S757	GO:0005739
P87131	GO:0005739
P47999	GO:0005739
O59701	GO:0005739
Q00873	GO:0005739
O23240	GO:0005739
Q8N465	GO:0005739
P84850	GO:0005739
Q7TN08	GO:0005739
P59103	GO:0005739
Q9NR28	GO:0005739
Q9JIQ3	GO:0005739
P90794	GO:0005739
Q80T85	GO:0005739
