CAFA	Predikcija	Skor	UniProt	Uniprot1	UniProt2
T96060000432	GO:0005739	fp	P35368	ADA1B_HUMAN	ADA1B_HUMAN
T96060000443	GO:0005739	fp	Q9UKF2	ADA30_HUMAN	ADA30_HUMAN
T96060000447	GO:0005739	fp	Q8NCV1	ADAD2_HUMAN	ADAD2_HUMAN
T96060000467	GO:0005739	fp	Q6P093	ADCL2_HUMAN	ADCL2_HUMAN
T96060000475	GO:0005739	fp	O43306	ADCY6_HUMAN	ADCY6_HUMAN
T96060000483	GO:0005739	fp	O15204	ADEC1_HUMAN	ADEC1_HUMAN
T96060000494	GO:0005739	fp	Q15848	ADIPO_HUMAN	ADIPO_HUMAN
T96060000499	GO:0005739	fp	C9JUS6	ADM5_HUMAN	ADM5_HUMAN
T96060000505	GO:0005739	fp	P54922	ADPRH_HUMAN	ADPRH_HUMAN
T96060000506	GO:0005739	fp	Q3LIE5	ADPRM_HUMAN	ADPRM_HUMAN
T96060000519	GO:0005739	fp	Q96IZ2	ADTRP_HUMAN	ADTRP_HUMAN
T96060000523	GO:0005739	fp	Q6ZN18	AEBP2_HUMAN	AEBP2_HUMAN
T96060000536	GO:0005739	fp	Q8N556	AFAP1_HUMAN	AFAP1_HUMAN
T96060000552	GO:0005739	fp	A6NIR3	AGAP5_HUMAN	AGAP5_HUMAN
T96060000558	GO:0005739	fp	Q8N302	AGGF1_HUMAN	AGGF1_HUMAN
T96060000568	GO:0005739	fp	Q86SQ6	AGRA1_HUMAN	AGRA1_HUMAN
T96060000570	GO:0005739	fp	Q8IWK6	AGRA3_HUMAN	AGRA3_HUMAN
T96060000571	GO:0005739	fp	O60241	AGRB2_HUMAN	AGRB2_HUMAN
T96060000576	GO:0005739	fp	Q9UHX3	AGRE2_HUMAN	AGRE2_HUMAN
T96060000593	GO:0005739	fp	Q9HAR2	AGRL3_HUMAN	AGRL3_HUMAN
T96060000604	GO:0005739	fp	P35869	AHR_HUMAN	AHR_HUMAN
T96060000605	GO:0005739	fp	O95433	AHSA1_HUMAN	AHSA1_HUMAN
T96060000606	GO:0005739	fp	Q719I0	AHSA2_HUMAN	AHSA2_HUMAN
T96060000610	GO:0005739	fp	Q9BQI0	AIF1L_HUMAN	AIF1L_HUMAN
T96060000615	GO:0005739	fp	Q9NVV5	AIG1_HUMAN	AIG1_HUMAN
T96060000625	GO:0005739	fp	Q9UKB5	AJAP1_HUMAN	AJAP1_HUMAN
T96060000626	GO:0005739	fp	Q96IF1	AJUBA_HUMAN	AJUBA_HUMAN
T96060000639	GO:0005739	fp	Q86UN6	AKA28_HUMAN	AKA28_HUMAN
T96060000650	GO:0005739	fp	Q99996	AKAP9_HUMAN	AKAP9_HUMAN
T96060000654	GO:0005739	fp	A6NHY2	AKD1B_HUMAN	AKD1B_HUMAN
T96060000660	GO:0005739	fp	Q7Z591	AKNA_HUMAN	AKNA_HUMAN
T96060000669	GO:0005739	fp	Q8N8R7	AL14E_HUMAN	AL14E_HUMAN
T96060000670	GO:0005739	fp	P00352	AL1A1_HUMAN	AL1A1_HUMAN
T96060000671	GO:0005739	fp	O94788	AL1A2_HUMAN	AL1A2_HUMAN
T96060000672	GO:0005739	fp	P47895	AL1A3_HUMAN	AL1A3_HUMAN
T96060000676	GO:0005739	fp	Q60I27	AL2CL_HUMAN	AL2CL_HUMAN
T96060000678	GO:0005739	fp	Q96Q35	AL2SB_HUMAN	AL2SB_HUMAN
T96060000690	GO:0005739	fp	P02768	ALBU_HUMAN	ALBU_HUMAN
T96060000698	GO:0005739	fp	Q9BV10	ALG12_HUMAN	ALG12_HUMAN
T96060000699	GO:0005739	fp	Q9NP73	ALG13_HUMAN	ALG13_HUMAN
T96060000703	GO:0005739	fp	Q9H553	ALG2_HUMAN	ALG2_HUMAN
T96060000706	GO:0005739	fp	Q9Y672	ALG6_HUMAN	ALG6_HUMAN
T96060000708	GO:0005739	fp	Q9H6U8	ALG9_HUMAN	ALG9_HUMAN
T96060000716	GO:0005739	fp	Q96BT7	ALKB8_HUMAN	ALKB8_HUMAN
T96060000717	GO:0005739	fp	Q6ZNB7	ALKMO_HUMAN	ALKMO_HUMAN
T96060000727	GO:0005739	fp	P35858	ALS_HUMAN	ALS_HUMAN
T96060000728	GO:0005739	fp	Q15699	ALX1_HUMAN	ALX1_HUMAN
T96060000730	GO:0005739	fp	Q9H161	ALX4_HUMAN	ALX4_HUMAN
T96060000733	GO:0005739	fp	P02760	AMBP_HUMAN	AMBP_HUMAN
T96060000736	GO:0005739	fp	Q99218	AMELY_HUMAN	AMELY_HUMAN
T96060000740	GO:0005739	fp	Q6DCA0	AMERL_HUMAN	AMERL_HUMAN
T96060000747	GO:0005739	fp	Q8IY45	AMN1_HUMAN	AMN1_HUMAN
T96060000755	GO:0005739	fp	Q01432	AMPD3_HUMAN	AMPD3_HUMAN
T96060000770	GO:0005739	fp	Q8IZ07	AN13A_HUMAN	AN13A_HUMAN
T96060000785	GO:0005739	fp	Q69YU3	AN34A_HUMAN	AN34A_HUMAN
T96060000794	GO:0005739	fp	P10275	ANDR_HUMAN	ANDR_HUMAN
T96060000814	GO:0005739	fp	E9PGG2	ANHX_HUMAN	ANHX_HUMAN
T96060000823	GO:0005739	fp	Q8NFD2	ANKK1_HUMAN	ANKK1_HUMAN
T96060000833	GO:0005739	fp	A6NFN9	ANKUB_HUMAN	ANKUB_HUMAN
T96060000834	GO:0005739	fp	Q9P2S6	ANKY1_HUMAN	ANKY1_HUMAN
T96060000838	GO:0005739	fp	Q99873	ANM1_HUMAN	ANM1_HUMAN
T96060000849	GO:0005739	fp	Q9BYT9	ANO3_HUMAN	ANO3_HUMAN
T96060000851	GO:0005739	fp	Q75V66	ANO5_HUMAN	ANO5_HUMAN
T96060000864	GO:0005739	fp	Q9H560	ANR19_HUMAN	ANR19_HUMAN
T96060000866	GO:0005739	fp	Q86SG2	ANR23_HUMAN	ANR23_HUMAN
T96060000876	GO:0005739	fp	Q53RE8	ANR39_HUMAN	ANR39_HUMAN
T96060000887	GO:0005739	fp	Q3KP44	ANR55_HUMAN	ANR55_HUMAN
T96060000895	GO:0005739	fp	Q92625	ANS1A_HUMAN	ANS1A_HUMAN
T96060000900	GO:0005739	fp	P58335	ANTR2_HUMAN	ANTR2_HUMAN
T96060000908	GO:0005739	fp	P09525	ANXA4_HUMAN	ANXA4_HUMAN
T96060000909	GO:0005739	fp	P08758	ANXA5_HUMAN	ANXA5_HUMAN
T96060000923	GO:0005739	fp	Q10567	AP1B1_HUMAN	AP1B1_HUMAN
T96060000927	GO:0005739	fp	Q9Y6Q5	AP1M2_HUMAN	AP1M2_HUMAN
T96060000929	GO:0005739	fp	P56377	AP1S2_HUMAN	AP1S2_HUMAN
T96060000943	GO:0005739	fp	O14617	AP3D1_HUMAN	AP3D1_HUMAN
T96060000951	GO:0005739	fp	Q9UPM8	AP4E1_HUMAN	AP4E1_HUMAN
T96060000952	GO:0005739	fp	O00189	AP4M1_HUMAN	AP4M1_HUMAN
T96060000956	GO:0005739	fp	Q9NUS5	AP5S1_HUMAN	AP5S1_HUMAN
T96060000961	GO:0005739	fp	O96018	APBA3_HUMAN	APBA3_HUMAN
T96060000964	GO:0005739	fp	O95704	APBB3_HUMAN	APBB3_HUMAN
T96060000967	GO:0005739	fp	Q9NYG5	APC11_HUMAN	APC11_HUMAN
T96060000987	GO:0005739	fp	Q8IW19	APLF_HUMAN	APLF_HUMAN
T96060001007	GO:0005739	fp	Q9BQE5	APOL2_HUMAN	APOL2_HUMAN
T96060001023	GO:0005739	fp	Q8NBQ7	AQP11_HUMAN	AQP11_HUMAN
T96060001024	GO:0005739	fp	P29972	AQP1_HUMAN	AQP1_HUMAN
T96060001040	GO:0005739	fp	Q66PJ3	AR6P4_HUMAN	AR6P4_HUMAN
T96060001048	GO:0005739	fp	P25098	ARBK1_HUMAN	ARBK1_HUMAN
T96060001066	GO:0005739	fp	Q13795	ARFRP_HUMAN	ARFRP_HUMAN
T96060001083	GO:0005739	fp	Q9NR80	ARHG4_HUMAN	ARHG4_HUMAN
T96060001086	GO:0005739	fp	Q14155	ARHG7_HUMAN	ARHG7_HUMAN
T96060001110	GO:0005739	fp	P29374	ARI4A_HUMAN	ARI4A_HUMAN
T96060001114	GO:0005739	fp	Q68CP9	ARID2_HUMAN	ARID2_HUMAN
T96060001117	GO:0005739	fp	O95154	ARK73_HUMAN	ARK73_HUMAN
T96060001123	GO:0005739	fp	Q0P5N6	ARL16_HUMAN	ARL16_HUMAN
T96060001133	GO:0005739	fp	A6NH57	ARL5C_HUMAN	ARL5C_HUMAN
T96060001136	GO:0005739	fp	Q9NVJ2	ARL8B_HUMAN	ARL8B_HUMAN
T96060001144	GO:0005739	fp	Q5T2S8	ARMC4_HUMAN	ARMC4_HUMAN
T96060001147	GO:0005739	fp	Q9H6L4	ARMC7_HUMAN	ARMC7_HUMAN
T96060001160	GO:0005739	fp	Q86WX3	AROS_HUMAN	AROS_HUMAN
T96060001162	GO:0005739	fp	P56211	ARP19_HUMAN	ARP19_HUMAN
T96060001170	GO:0005739	fp	Q9GZN1	ARP6_HUMAN	ARP6_HUMAN
T96060001186	GO:0005739	fp	P15289	ARSA_HUMAN	ARSA_HUMAN
T96060001189	GO:0005739	fp	P51690	ARSE_HUMAN	ARSE_HUMAN
T96060001190	GO:0005739	fp	P54793	ARSF_HUMAN	ARSF_HUMAN
T96060001199	GO:0005739	fp	Q96QS3	ARX_HUMAN	ARX_HUMAN
T96060001202	GO:0005739	fp	Q9HBK9	AS3MT_HUMAN	AS3MT_HUMAN
T96060001208	GO:0005739	fp	Q8TDY4	ASAP3_HUMAN	ASAP3_HUMAN
T96060001219	GO:0005739	fp	Q9Y576	ASB1_HUMAN	ASB1_HUMAN
T96060001224	GO:0005739	fp	Q9NWX5	ASB6_HUMAN	ASB6_HUMAN
T96060001229	GO:0005739	fp	Q9H1I8	ASCC2_HUMAN	ASCC2_HUMAN
T96060001242	GO:0005739	fp	Q9NR48	ASH1L_HUMAN	ASH1L_HUMAN
T96060001250	GO:0005739	fp	P42127	ASIP_HUMAN	ASIP_HUMAN
T96060001257	GO:0005739	fp	Q9NWL6	ASND1_HUMAN	ASND1_HUMAN
T96060001263	GO:0005739	fp	Q6ICH7	ASPH2_HUMAN	ASPH2_HUMAN
T96060001273	GO:0005739	fp	Q6HA08	ASTL_HUMAN	ASTL_HUMAN
T96060001274	GO:0005739	fp	O14525	ASTN1_HUMAN	ASTN1_HUMAN
T96060001276	GO:0005739	fp	Q9NVM9	ASUN_HUMAN	ASUN_HUMAN
T96060001279	GO:0005739	fp	Q9C0F0	ASXL3_HUMAN	ASXL3_HUMAN
T96060001300	GO:0005739	fp	Q9UN42	AT1B4_HUMAN	AT1B4_HUMAN
T96060001306	GO:0005739	fp	Q16720	AT2B3_HUMAN	AT2B3_HUMAN
T96060001342	GO:0005739	fp	P18847	ATF3_HUMAN	ATF3_HUMAN
T96060001344	GO:0005739	fp	Q9Y2D1	ATF5_HUMAN	ATF5_HUMAN
T96060001382	GO:0005739	fp	P20648	ATP4A_HUMAN	ATP4A_HUMAN
T96060001407	GO:0005739	fp	Q5VV63	ATRN1_HUMAN	ATRN1_HUMAN
T96060001419	GO:0005739	fp	Q8TE59	ATS19_HUMAN	ATS19_HUMAN
T96060001425	GO:0005739	fp	Q9UNA0	ATS5_HUMAN	ATS5_HUMAN
T96060001435	GO:0005739	fp	Q99700	ATX2_HUMAN	ATX2_HUMAN
T96060001442	GO:0005739	fp	Q9H7T9	AUNIP_HUMAN	AUNIP_HUMAN
T96060001450	GO:0005739	fp	O75366	AVIL_HUMAN	AVIL_HUMAN
T96060001458	GO:0005739	fp	A6NMY6	AXA2L_HUMAN	AXA2L_HUMAN
T96060001472	GO:0005739	fp	Q9BZR8	B2L14_HUMAN	B2L14_HUMAN
T96060001491	GO:0005739	fp	Q6ZMB0	B3GN6_HUMAN	B3GN6_HUMAN
T96060001492	GO:0005739	fp	Q8NFL0	B3GN7_HUMAN	B3GN7_HUMAN
T96060001494	GO:0005739	fp	Q6UX72	B3GN9_HUMAN	B3GN9_HUMAN
T96060001495	GO:0005739	fp	Q67FW5	B3GNL_HUMAN	B3GNL_HUMAN
T96060001498	GO:0005739	fp	O96024	B3GT4_HUMAN	B3GT4_HUMAN
T96060001500	GO:0005739	fp	Q96L58	B3GT6_HUMAN	B3GT6_HUMAN
T96060001504	GO:0005739	fp	Q6L9W6	B4GN3_HUMAN	B4GN3_HUMAN
T96060001513	GO:0005739	fp	Q9UPM9	B9D1_HUMAN	B9D1_HUMAN
T96060001515	GO:0005739	fp	Q8WXS3	BAALC_HUMAN	BAALC_HUMAN
T96060001516	GO:0005739	fp	P0C853	BAAS2_HUMAN	BAAS2_HUMAN
T96060001517	GO:0005739	fp	Q14032	BAAT_HUMAN	BAAT_HUMAN
T96060001518	GO:0005739	fp	Q9NWV8	BABA1_HUMAN	BABA1_HUMAN
T96060001526	GO:0005739	fp	Q6ZUV0	BACHL_HUMAN	BACHL_HUMAN
T96060001563	GO:0005739	fp	P82251	BAT1_HUMAN	BAT1_HUMAN
T96060001565	GO:0005739	fp	Q9NR55	BATF3_HUMAN	BATF3_HUMAN
T96060001566	GO:0005739	fp	Q16520	BATF_HUMAN	BATF_HUMAN
T96060001568	GO:0005739	fp	Q9NRL2	BAZ1A_HUMAN	BAZ1A_HUMAN
T96060001575	GO:0005739	fp	Q8ND07	BBOF1_HUMAN	BBOF1_HUMAN
T96060001578	GO:0005739	fp	Q8NFJ9	BBS1_HUMAN	BBS1_HUMAN
T96060001586	GO:0005739	fp	P50895	BCAM_HUMAN	BCAM_HUMAN
T96060001592	GO:0005739	fp	Q8TDM0	BCAS4_HUMAN	BCAS4_HUMAN
T96060001599	GO:0005739	fp	O60756	BCE1_HUMAN	BCE1_HUMAN
T96060001604	GO:0005739	fp	Q8N143	BCL6B_HUMAN	BCL6B_HUMAN
T96060001608	GO:0005739	fp	Q8WUZ0	BCL7C_HUMAN	BCL7C_HUMAN
T96060001611	GO:0005739	fp	O00512	BCL9_HUMAN	BCL9_HUMAN
T96060001628	GO:0005739	fp	Q8NDZ0	BEND2_HUMAN	BEND2_HUMAN
T96060001630	GO:0005739	fp	Q6ZU67	BEND4_HUMAN	BEND4_HUMAN
T96060001634	GO:0005739	fp	O76090	BEST1_HUMAN	BEST1_HUMAN
T96060001636	GO:0005739	fp	Q8N1M1	BEST3_HUMAN	BEST3_HUMAN
T96060001639	GO:0005739	fp	O15155	BET1_HUMAN	BET1_HUMAN
T96060001652	GO:0005739	fp	Q6P575	BGP11_HUMAN	BGP11_HUMAN
T96060001653	GO:0005739	fp	Q7RTU4	BHA09_HUMAN	BHA09_HUMAN
T96060001655	GO:0005739	fp	Q8NFJ8	BHE22_HUMAN	BHE22_HUMAN
T96060001660	GO:0005739	fp	C9JSJ3	BHMG1_HUMAN	BHMG1_HUMAN
T96060001692	GO:0005739	fp	Q6QNY0	BL1S3_HUMAN	BL1S3_HUMAN
T96060001711	GO:0005739	fp	O95972	BMP15_HUMAN	BMP15_HUMAN
T96060001715	GO:0005739	fp	P12645	BMP3_HUMAN	BMP3_HUMAN
T96060001748	GO:0005739	fp	O14613	BORG1_HUMAN	BORG1_HUMAN
T96060001753	GO:0005739	fp	Q9GZL8	BPEC1_HUMAN	BPEC1_HUMAN
T96060001765	GO:0005739	fp	P50747	BPL1_HUMAN	BPL1_HUMAN
T96060001768	GO:0005739	fp	O15178	BRAC_HUMAN	BRAC_HUMAN
T96060001812	GO:0005739	fp	Q075Z2	BSPH1_HUMAN	BSPH1_HUMAN
T96060001821	GO:0005739	fp	O00481	BT3A1_HUMAN	BT3A1_HUMAN
T96060001836	GO:0005739	fp	A6NE02	BTBDH_HUMAN	BTBDH_HUMAN
T96060001852	GO:0005739	fp	A8MVZ5	BTNLA_HUMAN	BTNLA_HUMAN
T96060001866	GO:0005739	fp	Q68D86	C102B_HUMAN	C102B_HUMAN
T96060001876	GO:0005739	fp	Q6UWJ8	C16L2_HUMAN	C16L2_HUMAN
T96060001889	GO:0005739	fp	P02747	C1QC_HUMAN	C1QC_HUMAN
T96060001893	GO:0005739	fp	Q9NPY3	C1QR1_HUMAN	C1QR1_HUMAN
T96060001895	GO:0005739	fp	Q9BXJ1	C1QT1_HUMAN	C1QT1_HUMAN
T96060001899	GO:0005739	fp	Q9BXJ0	C1QT5_HUMAN	C1QT5_HUMAN
T96060001906	GO:0005739	fp	P0C862	C1T9A_HUMAN	C1T9A_HUMAN
T96060001914	GO:0005739	fp	O14523	C2C2L_HUMAN	C2C2L_HUMAN
T96060001919	GO:0005739	fp	Q86YS7	C2CD5_HUMAN	C2CD5_HUMAN
T96060001920	GO:0005739	fp	Q6P1N0	C2D1A_HUMAN	C2D1A_HUMAN
T96060001922	GO:0005739	fp	Q9P2K1	C2D2A_HUMAN	C2D2A_HUMAN
T96060001937	GO:0005739	fp	O14569	C56D2_HUMAN	C56D2_HUMAN
T96060001948	GO:0005739	fp	Q8NEQ6	CA064_HUMAN	CA064_HUMAN
T96060001954	GO:0005739	fp	Q5SY80	CA101_HUMAN	CA101_HUMAN
T96060001956	GO:0005739	fp	Q3KP66	CA106_HUMAN	CA106_HUMAN
T96060001959	GO:0005739	fp	Q9NSG2	CA112_HUMAN	CA112_HUMAN
T96060001961	GO:0005739	fp	Q6ZSJ8	CA122_HUMAN	CA122_HUMAN
T96060001967	GO:0005739	fp	Q5VVS0	CA140_HUMAN	CA140_HUMAN
T96060001971	GO:0005739	fp	Q96MC9	CA147_HUMAN	CA147_HUMAN
T96060001974	GO:0005739	fp	Q96HA4	CA159_HUMAN	CA159_HUMAN
T96060001981	GO:0005739	fp	Q6ZWK4	CA186_HUMAN	CA186_HUMAN
T96060001983	GO:0005739	fp	Q5T5A4	CA194_HUMAN	CA194_HUMAN
T96060001987	GO:0005739	fp	Q5SR53	CA200_HUMAN	CA200_HUMAN
T96060001995	GO:0005739	fp	Q6ZS94	CA229_HUMAN	CA229_HUMAN
T96060001998	GO:0005739	fp	P54289	CA2D1_HUMAN	CA2D1_HUMAN
T96060002006	GO:0005739	fp	Q9BRK5	CAB45_HUMAN	CAB45_HUMAN
T96060002017	GO:0005739	fp	O75952	CABYR_HUMAN	CABYR_HUMAN
T96060002021	GO:0005739	fp	Q01668	CAC1D_HUMAN	CAC1D_HUMAN
T96060002030	GO:0005739	fp	P54284	CACB3_HUMAN	CACB3_HUMAN
T96060002033	GO:0005739	fp	Q9P1Z2	CACO1_HUMAN	CACO1_HUMAN
T96060002036	GO:0005739	fp	Q9Y6N8	CAD10_HUMAN	CAD10_HUMAN
T96060002038	GO:0005739	fp	P55289	CAD12_HUMAN	CAD12_HUMAN
T96060002044	GO:0005739	fp	Q9H159	CAD19_HUMAN	CAD19_HUMAN
T96060002057	GO:0005739	fp	P55286	CADH8_HUMAN	CADH8_HUMAN
T96060002058	GO:0005739	fp	Q9ULB4	CADH9_HUMAN	CADH9_HUMAN
T96060002062	GO:0005739	fp	Q8NFZ8	CADM4_HUMAN	CADM4_HUMAN
T96060002064	GO:0005739	fp	Q13111	CAF1A_HUMAN	CAF1A_HUMAN
T96060002065	GO:0005739	fp	Q13112	CAF1B_HUMAN	CAF1B_HUMAN
T96060002072	GO:0005739	fp	P00915	CAH1_HUMAN	CAH1_HUMAN
T96060002074	GO:0005739	fp	P07451	CAH3_HUMAN	CAH3_HUMAN
T96060002079	GO:0005739	fp	P43166	CAH7_HUMAN	CAH7_HUMAN
T96060002082	GO:0005739	fp	Q5VU97	CAHD1_HUMAN	CAHD1_HUMAN
T96060002087	GO:0005739	fp	P22676	CALB2_HUMAN	CALB2_HUMAN
T96060002119	GO:0005739	fp	P20807	CAN3_HUMAN	CAN3_HUMAN
T96060002124	GO:0005739	fp	O14815	CAN9_HUMAN	CAN9_HUMAN
T96060002127	GO:0005739	fp	Q86VP6	CAND1_HUMAN	CAND1_HUMAN
T96060002128	GO:0005739	fp	O75155	CAND2_HUMAN	CAND2_HUMAN
T96060002129	GO:0005739	fp	Q8WVQ1	CANT1_HUMAN	CANT1_HUMAN
T96060002135	GO:0005739	fp	Q14444	CAPR1_HUMAN	CAPR1_HUMAN
T96060002146	GO:0005739	fp	P57730	CAR18_HUMAN	CAR18_HUMAN
T96060002149	GO:0005739	fp	Q9Y2G2	CARD8_HUMAN	CARD8_HUMAN
T96060002152	GO:0005739	fp	Q5VZK9	CARL1_HUMAN	CARL1_HUMAN
T96060002156	GO:0005739	fp	Q8N4J0	CARME_HUMAN	CARME_HUMAN
T96060002162	GO:0005739	fp	Q8IU53	CASC2_HUMAN	CASC2_HUMAN
T96060002165	GO:0005739	fp	Q8NG31	CASC5_HUMAN	CASC5_HUMAN
T96060002170	GO:0005739	fp	P42575	CASP2_HUMAN	CASP2_HUMAN
T96060002175	GO:0005739	fp	P55210	CASP7_HUMAN	CASP7_HUMAN
T96060002205	GO:0005739	fp	Q9UBR2	CATZ_HUMAN	CATZ_HUMAN
T96060002206	GO:0005739	fp	Q03135	CAV1_HUMAN	CAV1_HUMAN
T96060002208	GO:0005739	fp	P56539	CAV3_HUMAN	CAV3_HUMAN
T96060002214	GO:0005739	fp	Q8WU43	CB015_HUMAN	CB015_HUMAN
T96060002216	GO:0005739	fp	Q580R0	CB027_HUMAN	CB027_HUMAN
T96060002222	GO:0005739	fp	Q8N535	CB052_HUMAN	CB052_HUMAN
T96060002227	GO:0005739	fp	Q2NKX9	CB068_HUMAN	CB068_HUMAN
T96060002229	GO:0005739	fp	A6NJV1	CB070_HUMAN	CB070_HUMAN
T96060002233	GO:0005739	fp	A8MZ97	CB074_HUMAN	CB074_HUMAN
T96060002237	GO:0005739	fp	A6NN90	CB081_HUMAN	CB081_HUMAN
T96060002238	GO:0005739	fp	Q6UX34	CB082_HUMAN	CB082_HUMAN
T96060002243	GO:0005739	fp	Q8N350	CBARP_HUMAN	CBARP_HUMAN
T96060002245	GO:0005739	fp	Q13191	CBLB_HUMAN	CBLB_HUMAN
T96060002264	GO:0005739	fp	Q8NDL9	CBPC5_HUMAN	CBPC5_HUMAN
T96060002267	GO:0005739	fp	P16870	CBPE_HUMAN	CBPE_HUMAN
T96060002281	GO:0005739	fp	Q5JTY5	CBWD3_HUMAN	CBWD3_HUMAN
T96060002282	GO:0005739	fp	Q5RIA9	CBWD5_HUMAN	CBWD5_HUMAN
T96060002283	GO:0005739	fp	Q4V339	CBWD6_HUMAN	CBWD6_HUMAN
T96060002295	GO:0005739	fp	Q9HBI5	CC014_HUMAN	CC014_HUMAN
T96060002310	GO:0005739	fp	P0CE67	CC079_HUMAN	CC079_HUMAN
T96060002320	GO:0005739	fp	Q9H0I3	CC113_HUMAN	CC113_HUMAN
T96060002327	GO:0005739	fp	Q5T0U0	CC122_HUMAN	CC122_HUMAN
T96060002358	GO:0005739	fp	Q8NDH2	CC168_HUMAN	CC168_HUMAN
T96060002364	GO:0005739	fp	Q6PII3	CC174_HUMAN	CC174_HUMAN
