Protein	Gene.ID	Gene	Status	Guess	Alg
A8MRA7	ENSG00000123472	ATPAF1	Known mitochondrial	tp	PANNZER
A8MUP2	ENSG00000214756	METTL12	Known mitochondrial	tp	PANNZER
A8MWT1	ENSG00000183597	TANGO2	Known mitochondrial	tp	PANNZER
A8MX94	ENSG00000084207	GSTP1	Predicted mitochondrial	tp	PANNZER
A8MYZ9	ENSG00000069998	HDHD5	Known mitochondrial	tp	PANNZER
B0AZS6	ENSG00000164924	YWHAZ	Predicted mitochondrial	tp	PANNZER
B0QYH2	ENSG00000100209	HSCB	Known mitochondrial	tp	PANNZER
B1AH49	ENSG00000128309	MPST	Known mitochondrial	tp	PANNZER
B3KQ30	ENSG00000136003	ISCU	Known mitochondrial	tp	PANNZER
B3KR49	ENSG00000102882	MAPK3	Predicted mitochondrial	tp	PANNZER
B3KSI3	ENSG00000105552	BCAT2	Known mitochondrial	tp	PANNZER
B3KTU4	ENSG00000145020	AMT	Known mitochondrial	tp	PANNZER
E5RH77	ENSG00000164587	RPS14	Predicted mitochondrial	tp	PANNZER
E5RH91	ENSG00000250317	SMIM20	Predicted mitochondrial	tp	PANNZER
E5RHU2	ENSG00000049883	PTCD2	Known mitochondrial	tp	PANNZER
E5RI05	ENSG00000197043	ANXA6	Predicted mitochondrial	tp	PANNZER
E5RIA9	ENSG00000175806	MSRA	Known mitochondrial	tp	PANNZER
E5RIB6	ENSG00000066855	MTFR1	Known mitochondrial	tp	PANNZER
E5RID6	ENSG00000104325	DECR1	Known mitochondrial	tp	PANNZER
E5RIK9	ENSG00000156469	MTERF3	Known mitochondrial	tp	PANNZER
E5RIQ8	ENSG00000113272	THG1L	Known mitochondrial	tp	PANNZER
E5RIU8	ENSG00000197043	ANXA6	Predicted mitochondrial	tp	PANNZER
E5RIY4	ENSG00000156469	MTERF3	Known mitochondrial	tp	PANNZER
E5RJK7	ENSG00000083099	LYRM2	Known mitochondrial	tp	PANNZER
E5RJN4	ENSG00000165046	LETM2	Known mitochondrial	tp	PANNZER
E5RK40	ENSG00000165046	LETM2	Known mitochondrial	tp	PANNZER
E5RK69	ENSG00000197043	ANXA6	Predicted mitochondrial	tp	PANNZER
E7EMC6	ENSG00000197043	ANXA6	Predicted mitochondrial	tp	PANNZER
E7EMD0	ENSG00000127948	POR	Predicted mitochondrial	tp	PANNZER
E7EMD6	ENSG00000108599	AKAP10	Known mitochondrial	tp	PANNZER
E7EMT5	ENSG00000140465	CYP1A1	Known mitochondrial	tp	PANNZER
E7EVY0	ENSG00000155463	OXA1L	Known mitochondrial	tp	PANNZER
E7EWH9	ENSG00000036448	MYOM2	Predicted mitochondrial	tp	PANNZER
E7EWI1	ENSG00000135297	MTO1	Known mitochondrial	tp	PANNZER
E7EWK1	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
E7EWX0	ENSG00000135297	MTO1	Known mitochondrial	tp	PANNZER
E9PBI2	ENSG00000171132	PRKCE	Known mitochondrial	tp	PANNZER
E9PBZ9	ENSG00000170917	NUDT6	Known mitochondrial	tp	PANNZER
E9PCG9	ENSG00000161267	BDH1	Known mitochondrial	tp	PANNZER
E9PCR7	ENSG00000105953	OGDH	Known mitochondrial	tp	PANNZER
E9PCX7	ENSG00000112992	NNT	Known mitochondrial	tp	PANNZER
E9PD14	ENSG00000204628	RACK1	Predicted mitochondrial	tp	PANNZER
E9PDF2	ENSG00000105953	OGDH	Known mitochondrial	tp	PANNZER
E9PDG3	ENSG00000167716	WDR81	Known mitochondrial	tp	PANNZER
E9PDK4	ENSG00000115159	GPD2	Known mitochondrial	tp	PANNZER
E9PDQ8	ENSG00000172340	SUCLG2	Known mitochondrial	tp	PANNZER
E9PE82	ENSG00000122971	ACADS	Known mitochondrial	tp	PANNZER
E9PEX6	ENSG00000091140	DLD	Known mitochondrial	tp	PANNZER
E9PF18	ENSG00000138796	HADH	Known mitochondrial	tp	PANNZER
E9PF46	ENSG00000170634	ACYP2	Predicted mitochondrial	tp	PANNZER
E9PFN5	ENSG00000197448	GSTK1	Known mitochondrial	tp	PANNZER
E9PFW3	ENSG00000161203	AP2M1	Predicted mitochondrial	tp	PANNZER
F8VQQ3	ENSG00000139637	C12orf10	Known mitochondrial	tp	PANNZER
F8W8T8	ENSG00000076555	ACACB	Known mitochondrial	tp	PANNZER
F8W9J0	ENSG00000115840	SLC25A12	Known mitochondrial	tp	PANNZER
F8W9Q7	ENSG00000147454	SLC25A37	Known mitochondrial	tp	PANNZER
F8W9Q8	ENSG00000063761	ADCK1	Predicted mitochondrial	tp	PANNZER
F8W9V1	ENSG00000196636	SDHAF3	Known mitochondrial	tp	PANNZER
F8WA34	ENSG00000170634	ACYP2	Predicted mitochondrial	tp	PANNZER
F8WAH1	ENSG00000008311	AASS	Known mitochondrial	tp	PANNZER
F8WAU4	ENSG00000168827	GFM1	Known mitochondrial	tp	PANNZER
F8WAU6	ENSG00000113845	TIMMDC1	Known mitochondrial	tp	PANNZER
F8WAW4	ENSG00000198721	ECI2	Known mitochondrial	tp	PANNZER
F8WB00	ENSG00000113845	TIMMDC1	Known mitochondrial	tp	PANNZER
F8WB19	ENSG00000213699	SLC35F6	Known mitochondrial	tp	PANNZER
F8WB50	ENSG00000154814	OXNAD1	Known mitochondrial	tp	PANNZER
F8WB72	ENSG00000182899	RPL35A	Predicted mitochondrial	tp	PANNZER
F8WBB5	ENSG00000105793	GTPBP10	Known mitochondrial	tp	PANNZER
F8WBC9	ENSG00000135423	GLS2	Known mitochondrial	tp	PANNZER
F8WCK4	ENSG00000106105	GARS	Known mitochondrial	tp	PANNZER
F8WCN3	ENSG00000237289	CKMT1B	Known mitochondrial	tp	PANNZER
F8WCN4	ENSG00000105793	GTPBP10	Known mitochondrial	tp	PANNZER
F8WCR5	ENSG00000184117	NIPSNAP1	Known mitochondrial	tp	PANNZER
F8WCT7	ENSG00000213699	SLC35F6	Known mitochondrial	tp	PANNZER
F8WCZ9	ENSG00000114026	OGG1	Known mitochondrial	tp	PANNZER
F8WD33	ENSG00000164904	ALDH7A1	Known mitochondrial	tp	PANNZER
F8WD90	ENSG00000135929	CYP27A1	Known mitochondrial	tp	PANNZER
F8WDN2	ENSG00000100348	TXN2	Known mitochondrial	tp	PANNZER
F8WDP9	ENSG00000223572	CKMT1A	Known mitochondrial	tp	PANNZER
F8WDR2	ENSG00000171103	TRMT61B	Known mitochondrial	tp	PANNZER
F8WDR9	ENSG00000100225	FBXO7	Predicted mitochondrial	tp	PANNZER
F8WDT9	ENSG00000183597	TANGO2	Known mitochondrial	tp	PANNZER
F8WDY6	ENSG00000164904	ALDH7A1	Known mitochondrial	tp	PANNZER
F8WE58	ENSG00000204099	NEU4	Known mitochondrial	tp	PANNZER
F8WE76	ENSG00000132300	PTCD3	Known mitochondrial	tp	PANNZER
F8WEC0	ENSG00000168288	MMADHC	Known mitochondrial	tp	PANNZER
F8WEF0	ENSG00000138363	ATIC	Predicted mitochondrial	tp	PANNZER
F8WEF1	ENSG00000010256	UQCRC1	Known mitochondrial	tp	PANNZER
F8WEF6	ENSG00000178537	SLC25A20	Known mitochondrial	tp	PANNZER
F8WEN7	ENSG00000242114	MTFP1	Known mitochondrial	tp	PANNZER
F8WER5	ENSG00000010256	UQCRC1	Known mitochondrial	tp	PANNZER
F8WET2	ENSG00000106049	HIBADH	Known mitochondrial	tp	PANNZER
F8WEU7	ENSG00000135423	GLS2	Known mitochondrial	tp	PANNZER
F8WEV1	ENSG00000183833	MAATS1	Known mitochondrial	tp	PANNZER
H0Y695	ENSG00000145020	AMT	Known mitochondrial	tp	PANNZER
H0Y7U2	ENSG00000162946	DISC1	Known mitochondrial	tp	PANNZER
H0YG54	ENSG00000076043	REXO2	Known mitochondrial	tp	PANNZER
H0YK49	ENSG00000140374	ETFA	Known mitochondrial	tp	PANNZER
H0YL11	ENSG00000182054	IDH2	Known mitochondrial	tp	PANNZER
H0YL72	ENSG00000166411	IDH3A	Known mitochondrial	tp	PANNZER
H0YL83	ENSG00000140374	ETFA	Known mitochondrial	tp	PANNZER
J3QLR8	ENSG00000181610	MRPS23	Known mitochondrial	tp	PANNZER
J3QQX3	ENSG00000161513	FDXR	Known mitochondrial	tp	PANNZER
J3QR74	ENSG00000108599	AKAP10	Known mitochondrial	tp	PANNZER
M0QX49	ENSG00000039650	PNKP	Known mitochondrial	tp	PANNZER
M0QYH2	ENSG00000039650	PNKP	Known mitochondrial	tp	PANNZER
M0QZP4	ENSG00000105552	BCAT2	Known mitochondrial	tp	PANNZER
M0R022	ENSG00000229833	PET100	Known mitochondrial	tp	PANNZER
M0R0F4	ENSG00000123815	COQ8B	Known mitochondrial	tp	PANNZER
M0R0L0	ENSG00000182346	DAOA	Known mitochondrial	tp	PANNZER
M0R3C8	ENSG00000039650	PNKP	Known mitochondrial	tp	PANNZER
Q2PPL5	ENSG00000100416	TRMU	Known mitochondrial	tp	PANNZER
Q2VYF4	ENSG00000165046	LETM2	Known mitochondrial	tp	PANNZER
Q3MIX3	ENSG00000173137	ADCK5	Predicted mitochondrial	tp	PANNZER
Q3SXM5	ENSG00000103160	HSDL1	Predicted mitochondrial	tp	PANNZER
Q3T7B4	ENSG00000043514	TRIT1	Known mitochondrial	tp	PANNZER
Q3ZCV2	ENSG00000162398	LEXM	Predicted mitochondrial	tp	PANNZER
Q495G5	ENSG00000151611	MMAA	Known mitochondrial	tp	PANNZER
Q49AI2	ENSG00000137274	BPHL	Predicted mitochondrial	tp	PANNZER
Q4R9M9	ENSG00000054523	KIF1B	Known mitochondrial	tp	PANNZER
Q4VAR0	ENSG00000160882	CYP11B1	Known mitochondrial	tp	PANNZER
Q4VC31	ENSG00000160124	CCDC58	Known mitochondrial	tp	PANNZER
Q53S33	ENSG00000163170	BOLA3	Known mitochondrial	tp	PANNZER
Q562E7	ENSG00000167716	WDR81	Known mitochondrial	tp	PANNZER
Q5BKU9	ENSG00000204237	OXLD1	Predicted mitochondrial	tp	PANNZER
Q5BKV1	ENSG00000100345	MYH9	Known mitochondrial	tp	PANNZER
Q5BKY1	ENSG00000198812	LRRC10	Known mitochondrial	tp	PANNZER
Q5CZC0	ENSG00000188738	FSIP2	Predicted mitochondrial	tp	PANNZER
Q5JRR6	ENSG00000130985	UBA1	Known mitochondrial	tp	PANNZER
Q5JYA8	ENSG00000120254	MTHFD1L	Known mitochondrial	tp	PANNZER
Q5QPE7	ENSG00000125871	MGME1	Known mitochondrial	tp	PANNZER
Q5QPE8	ENSG00000125871	MGME1	Known mitochondrial	tp	PANNZER
Q5VX85	ENSG00000143799	PARP1	Known mitochondrial	tp	PANNZER
Q9BS92	ENSG00000165028	NIPSNAP3B	Predicted mitochondrial	tp	PANNZER
Q9BSH5	ENSG00000119431	HDHD3	Known mitochondrial	tp	PANNZER
Q9BTR4	ENSG00000076043	REXO2	Known mitochondrial	tp	PANNZER
Q9BV35	ENSG00000125648	SLC25A23	Known mitochondrial	tp	PANNZER
Q9BVL4	ENSG00000073169	SELENOO	Predicted mitochondrial	tp	PANNZER
Q9BXW7	ENSG00000069998	HDHD5	Known mitochondrial	tp	PANNZER
Q9H019	ENSG00000117640	MTFR1L	Known mitochondrial	tp	PANNZER
Q9H0N5	ENSG00000132570	PCBD2	Predicted mitochondrial	tp	PANNZER
Q9H6K4	ENSG00000125741	OPA3	Known mitochondrial	tp	PANNZER
Q9H6R3	ENSG00000111058	ACSS3	Known mitochondrial	tp	PANNZER
S4R2Z0	ENSG00000043514	TRIT1	Known mitochondrial	tp	PANNZER
S4R369	ENSG00000116221	MRPL37	Known mitochondrial	tp	PANNZER
S4R3Q9	ENSG00000155463	OXA1L	Known mitochondrial	tp	PANNZER
S4R453	ENSG00000156113	KCNMA1	Known mitochondrial	tp	PANNZER
U3KPS9	ENSG00000143199	ADCY10	Known mitochondrial	tp	PANNZER
U3KPX8	ENSG00000170634	ACYP2	Predicted mitochondrial	tp	PANNZER
U3KQ63	ENSG00000146701	MDH2	Known mitochondrial	tp	PANNZER
U3KQD9	ENSG00000087157	PGS1	Known mitochondrial	tp	PANNZER
U3KQL2	ENSG00000170634	ACYP2	Predicted mitochondrial	tp	PANNZER
U3KQT8	ENSG00000124523	SIRT5	Known mitochondrial	tp	PANNZER
U3KQU8	ENSG00000154814	OXNAD1	Known mitochondrial	tp	PANNZER
V9GY69	ENSG00000163644	PPM1K	Known mitochondrial	tp	PANNZER
V9GYP4	ENSG00000242110	AMACR	Known mitochondrial	tp	PANNZER
V9GYS5	ENSG00000111906	HDDC2	Predicted mitochondrial	tp	PANNZER
V9GYU9	ENSG00000242110	AMACR	Known mitochondrial	tp	PANNZER
V9GYZ0	ENSG00000125779	PANK2	Known mitochondrial	tp	PANNZER
V9GYZ5	ENSG00000163644	PPM1K	Known mitochondrial	tp	PANNZER
V9GZ04	ENSG00000111906	HDDC2	Predicted mitochondrial	tp	PANNZER
V9GZ37	ENSG00000204389	HSPA1A	Known mitochondrial	tp	PANNZER
V9GZ45	ENSG00000242110	AMACR	Known mitochondrial	tp	PANNZER
X6R3N0	ENSG00000143554	SLC27A3	Predicted mitochondrial	tp	PANNZER
X6R5Z6	ENSG00000168275	COA6	Known mitochondrial	tp	PANNZER
X6R717	ENSG00000089876	DHX32	Known mitochondrial	tp	PANNZER
X6R772	ENSG00000130348	QRSL1	Known mitochondrial	tp	PANNZER
X6R9F1	ENSG00000134884	ARGLU1	Predicted mitochondrial	tp	PANNZER
A0A024QZP7	ENSG00000170312	CDK1	Known mitochondrial	fn	PANNZER
A0A075B746	ENSG00000266472	MRPS21	Known mitochondrial	fn	PANNZER
A0A087WSV8	ENSG00000070081	NUCB2	Known mitochondrial	fn	PANNZER
A0A087WT18	ENSG00000122203	KIAA1191	Predicted mitochondrial	fn	PANNZER
A0A087WT90	ENSG00000259494	MRPL46	Known mitochondrial	fn	PANNZER
A0A087WT95	ENSG00000119673	ACOT2	Known mitochondrial	fn	PANNZER
A0A087WTF2	ENSG00000173660	UQCRH	Known mitochondrial	fn	PANNZER
A0A087WTI3	ENSG00000115286	NDUFS7	Known mitochondrial	fn	PANNZER
A0A087WTL4	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	PANNZER
A0A087WTP1	ENSG00000197912	SPG7	Known mitochondrial	fn	PANNZER
A0A087WTP2	ENSG00000160752	FDPS	Predicted mitochondrial	fn	PANNZER
A0A087WTR4	ENSG00000183549	ACSM5	Known mitochondrial	fn	PANNZER
A0A087WTS3	ENSG00000188343	FAM92A	Predicted mitochondrial	fn	PANNZER
A0A087WU07	ENSG00000173436	MINOS1	Known mitochondrial	fn	PANNZER
A0A087WU95	ENSG00000144369	FAM171B	Predicted mitochondrial	fn	PANNZER
A0A087WUC6	ENSG00000118363	SPCS2	Predicted mitochondrial	fn	PANNZER
A0A087WUE1	ENSG00000170921	TANC2	Predicted mitochondrial	fn	PANNZER
A0A087WUV3	ENSG00000117481	NSUN4	Known mitochondrial	fn	PANNZER
A0A087WUV8	ENSG00000172270	BSG	Predicted mitochondrial	fn	PANNZER
A0A087WUX8	ENSG00000155008	APOOL	Known mitochondrial	fn	PANNZER
A0A087WV22	ENSG00000147403	RPL10	Predicted mitochondrial	fn	PANNZER
A0A087WVT9	ENSG00000103202	NME4	Known mitochondrial	fn	PANNZER
A0A087WVZ0	ENSG00000060762	MPC1	Known mitochondrial	fn	PANNZER
A0A087WW40	ENSG00000097033	SH3GLB1	Known mitochondrial	fn	PANNZER
A0A087WW65	ENSG00000131269	ABCB7	Known mitochondrial	fn	PANNZER
A0A087WW80	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	PANNZER
A0A087WWI4	ENSG00000149428	HYOU1	Predicted mitochondrial	fn	PANNZER
A0A087WXC5	ENSG00000130414	NDUFA10	Known mitochondrial	fn	PANNZER
A0A087WXF6	ENSG00000115286	NDUFS7	Known mitochondrial	fn	PANNZER
A0A087WXG2	ENSG00000133597	ADCK2	Predicted mitochondrial	fn	PANNZER
A0A087WXQ8	ENSG00000277791	PSMB3	Predicted mitochondrial	fn	PANNZER
A0A087WXR5	ENSG00000128609	NDUFA5	Known mitochondrial	fn	PANNZER
A0A087WXS3	ENSG00000006125	AP2B1	Predicted mitochondrial	fn	PANNZER
A0A087WXS8	ENSG00000121289	CEP89	Known mitochondrial	fn	PANNZER
A0A087WXZ7	ENSG00000068097	HEATR6	Predicted mitochondrial	fn	PANNZER
A0A087WY10	ENSG00000277791	PSMB3	Predicted mitochondrial	fn	PANNZER
A0A087WY49	ENSG00000278259	MYO19	Known mitochondrial	fn	PANNZER
A0A087WYB4	ENSG00000165283	STOML2	Known mitochondrial	fn	PANNZER
A0A087WYD0	ENSG00000136521	NDUFB5	Known mitochondrial	fn	PANNZER
A0A087WYF7	ENSG00000155008	APOOL	Known mitochondrial	fn	PANNZER
A0A087WYS0	ENSG00000132305	IMMT	Known mitochondrial	fn	PANNZER
A0A087WYS9	ENSG00000148290	SURF1	Known mitochondrial	fn	PANNZER
A0A087WYY5	ENSG00000186298	PPP1CC	Predicted mitochondrial	fn	PANNZER
A0A087WZF8	ENSG00000165949	IFI27	Known mitochondrial	fn	PANNZER
A0A087WZR1	ENSG00000165949	IFI27	Known mitochondrial	fn	PANNZER
A0A087WZX2	ENSG00000165264	NDUFB6	Known mitochondrial	fn	PANNZER
A0A087WZY2	ENSG00000196683	TOMM7	Known mitochondrial	fn	PANNZER
A0A087WZZ9	ENSG00000170312	CDK1	Known mitochondrial	fn	PANNZER
A0A087X054	ENSG00000149428	HYOU1	Predicted mitochondrial	fn	PANNZER
A0A087X090	ENSG00000160752	FDPS	Predicted mitochondrial	fn	PANNZER
A0A087X0V6	ENSG00000117481	NSUN4	Known mitochondrial	fn	PANNZER
A0A087X0W7	ENSG00000119673	ACOT2	Known mitochondrial	fn	PANNZER
A0A087X0Z7	ENSG00000100612	DHRS7	Predicted mitochondrial	fn	PANNZER
A0A087X114	ENSG00000139428	MMAB	Known mitochondrial	fn	PANNZER
A0A087X174	ENSG00000165949	IFI27	Known mitochondrial	fn	PANNZER
A0A087X1G1	ENSG00000128609	NDUFA5	Known mitochondrial	fn	PANNZER
A0A087X1G4	ENSG00000166321	NUDT13	Predicted mitochondrial	fn	PANNZER
A0A087X1S1	ENSG00000120662	MTRF1	Known mitochondrial	fn	PANNZER
A0A087X1Z2	ENSG00000115468	EFHD1	Known mitochondrial	fn	PANNZER
A0A087X215	ENSG00000172270	BSG	Predicted mitochondrial	fn	PANNZER
A0A087X253	ENSG00000006125	AP2B1	Predicted mitochondrial	fn	PANNZER
A0A0A0MR33	ENSG00000100577	GSTZ1	Known mitochondrial	fn	PANNZER
A0A0A0MR90	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	PANNZER
A0A0A0MRB0	ENSG00000189283	FHIT	Predicted mitochondrial	fn	PANNZER
A0A0A0MRC3	ENSG00000156113	KCNMA1	Known mitochondrial	fn	PANNZER
A0A0A0MRF4	ENSG00000115364	MRPL19	Known mitochondrial	fn	PANNZER
A0A0A0MRG8	ENSG00000030110	BAK1	Known mitochondrial	fn	PANNZER
A0A0A0MRJ6	ENSG00000120265	PCMT1	Predicted mitochondrial	fn	PANNZER
A0A0A0MRK6	ENSG00000173171	MTX1	Known mitochondrial	fn	PANNZER
A0A0A0MRN6	ENSG00000137944	KYAT3	Known mitochondrial	fn	PANNZER
A0A0A0MRP1	ENSG00000137968	SLC44A5	Predicted mitochondrial	fn	PANNZER
A0A0A0MRQ5	ENSG00000117450	PRDX1	Predicted mitochondrial	fn	PANNZER
A0A0A0MRR0	ENSG00000156113	KCNMA1	Known mitochondrial	fn	PANNZER
A0A0A0MRW7	ENSG00000137074	APTX	Known mitochondrial	fn	PANNZER
A0A0A0MRX9	ENSG00000107959	PITRM1	Known mitochondrial	fn	PANNZER
A0A0A0MS24	ENSG00000077157	PPP1R12B	Predicted mitochondrial	fn	PANNZER
A0A0A0MS29	ENSG00000168958	MFF	Known mitochondrial	fn	PANNZER
A0A0A0MS36	ENSG00000162836	ACP6	Known mitochondrial	fn	PANNZER
A0A0A0MS56	ENSG00000172955	ADH6	Predicted mitochondrial	fn	PANNZER
A0A0A0MS74	ENSG00000100889	PCK2	Known mitochondrial	fn	PANNZER
A0A0A0MSC8	ENSG00000184347	SLIT3	Known mitochondrial	fn	PANNZER
A0A0A0MSE2	ENSG00000138796	HADH	Known mitochondrial	fn	PANNZER
A0A0A0MSE6	ENSG00000156113	KCNMA1	Known mitochondrial	fn	PANNZER
A0A0A0MSI5	ENSG00000183597	TANGO2	Known mitochondrial	fn	PANNZER
A0A0A0MSK2	ENSG00000229833	PET100	Known mitochondrial	fn	PANNZER
A0A0A0MSQ0	ENSG00000102024	PLS3	Predicted mitochondrial	fn	PANNZER
A0A0A0MSU4	ENSG00000141338	ABCA8	Predicted mitochondrial	fn	PANNZER
A0A0A0MSY7	ENSG00000166548	TK2	Known mitochondrial	fn	PANNZER
A0A0A0MSZ4	ENSG00000161513	FDXR	Known mitochondrial	fn	PANNZER
A0A0A0MT16	ENSG00000179869	ABCA13	Predicted mitochondrial	fn	PANNZER
A0A0A0MT55	ENSG00000123453	SARDH	Known mitochondrial	fn	PANNZER
A0A0A0MT64	ENSG00000161513	FDXR	Known mitochondrial	fn	PANNZER
A0A0A0MT83	ENSG00000128928	IVD	Known mitochondrial	fn	PANNZER
A0A0A0MTC0	ENSG00000164306	PRIMPOL	Known mitochondrial	fn	PANNZER
A0A0A0MTE8	ENSG00000166833	NAV2	Predicted mitochondrial	fn	PANNZER
A0A0A0MTG1	ENSG00000137411	VARS2	Known mitochondrial	fn	PANNZER
A0A0A0MTI5	ENSG00000155368	DBI	Known mitochondrial	fn	PANNZER
A0A0A0MTJ1	ENSG00000105701	FKBP8	Known mitochondrial	fn	PANNZER
A0A0A0MTL4	ENSG00000166833	NAV2	Predicted mitochondrial	fn	PANNZER
A0A0A0MTN9	ENSG00000161513	FDXR	Known mitochondrial	fn	PANNZER
A0A0A0MTQ5	ENSG00000156411	C14orf2	Known mitochondrial	fn	PANNZER
A0A0A0MTR6	ENSG00000161513	FDXR	Known mitochondrial	fn	PANNZER
A0A0A0MTS3	ENSG00000152234	ATP5A1	Known mitochondrial	fn	PANNZER
A0A0A0MTS8	ENSG00000267673	FDX2	Known mitochondrial	fn	PANNZER
A0A0B4J1R2	ENSG00000111058	ACSS3	Known mitochondrial	fn	PANNZER
A0A0B4J1W9	ENSG00000132155	RAF1	Known mitochondrial	fn	PANNZER
