Protein	Gene.ID	Gene	Status	Guess	Alg
A0A087WV22	ENSG00000147403	RPL10	Predicted mitochondrial	fn	FRENKI
A0A087WVM4	ENSG00000120254	MTHFD1L	Known mitochondrial	fn	FRENKI
A0A087WVQ6	ENSG00000141367	CLTC	Predicted mitochondrial	fn	FRENKI
A0A087WVT9	ENSG00000103202	NME4	Known mitochondrial	fn	FRENKI
A0A087WVZ0	ENSG00000060762	MPC1	Known mitochondrial	fn	FRENKI
A0A087WW40	ENSG00000097033	SH3GLB1	Known mitochondrial	fn	FRENKI
A0A087WW65	ENSG00000131269	ABCB7	Known mitochondrial	fn	FRENKI
A0A087WW80	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	FRENKI
A0A087WWA3	ENSG00000054523	KIF1B	Known mitochondrial	fn	FRENKI
A0A087WWB7	ENSG00000162836	ACP6	Known mitochondrial	fn	FRENKI
A0A087WWD5	ENSG00000102125	TAZ	Known mitochondrial	fn	FRENKI
A0A087WWI4	ENSG00000149428	HYOU1	Predicted mitochondrial	fn	FRENKI
A0A087WWM6	ENSG00000100033	PRODH	Known mitochondrial	fn	FRENKI
A0A087WX97	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	FRENKI
A0A087WXC5	ENSG00000130414	NDUFA10	Known mitochondrial	fn	FRENKI
A0A087WXF6	ENSG00000115286	NDUFS7	Known mitochondrial	fn	FRENKI
A0A087WXG2	ENSG00000133597	ADCK2	Predicted mitochondrial	fn	FRENKI
A0A087WXQ8	ENSG00000277791	PSMB3	Predicted mitochondrial	fn	FRENKI
A0A087WXR5	ENSG00000128609	NDUFA5	Known mitochondrial	fn	FRENKI
A0A087WXS3	ENSG00000006125	AP2B1	Predicted mitochondrial	fn	FRENKI
A0A087WXS8	ENSG00000121289	CEP89	Known mitochondrial	fn	FRENKI
A0A087WXU0	ENSG00000155906	RMND1	Known mitochondrial	fn	FRENKI
A0A087WXZ7	ENSG00000068097	HEATR6	Predicted mitochondrial	fn	FRENKI
A0A087WY10	ENSG00000277791	PSMB3	Predicted mitochondrial	fn	FRENKI
A0A087WY49	ENSG00000278259	MYO19	Known mitochondrial	fn	FRENKI
A0A087WY71	ENSG00000161203	AP2M1	Predicted mitochondrial	fn	FRENKI
A0A087WYB4	ENSG00000165283	STOML2	Known mitochondrial	fn	FRENKI
A0A087WYD0	ENSG00000136521	NDUFB5	Known mitochondrial	fn	FRENKI
A0A087WYF7	ENSG00000155008	APOOL	Known mitochondrial	fn	FRENKI
A0A087WYS0	ENSG00000132305	IMMT	Known mitochondrial	fn	FRENKI
A0A087WYS9	ENSG00000148290	SURF1	Known mitochondrial	fn	FRENKI
A0A087WYX6	ENSG00000162946	DISC1	Known mitochondrial	fn	FRENKI
A0A087WYY5	ENSG00000186298	PPP1CC	Predicted mitochondrial	fn	FRENKI
A0A087WZC1	ENSG00000278619	MRM1	Known mitochondrial	fn	FRENKI
A0A087WZF8	ENSG00000165949	IFI27	Known mitochondrial	fn	FRENKI
A0A087WZL8	ENSG00000156113	KCNMA1	Known mitochondrial	fn	FRENKI
A0A087WZN1	ENSG00000101365	IDH3B	Known mitochondrial	fn	FRENKI
A0A087WZR1	ENSG00000165949	IFI27	Known mitochondrial	fn	FRENKI
A0A087WZR9	ENSG00000143811	PYCR2	Known mitochondrial	fn	FRENKI
A0A087WZX2	ENSG00000165264	NDUFB6	Known mitochondrial	fn	FRENKI
A0A087WZY2	ENSG00000196683	TOMM7	Known mitochondrial	fn	FRENKI
A0A087WZZ9	ENSG00000170312	CDK1	Known mitochondrial	fn	FRENKI
A0A087X004	ENSG00000135423	GLS2	Known mitochondrial	fn	FRENKI
A0A087X054	ENSG00000149428	HYOU1	Predicted mitochondrial	fn	FRENKI
A0A087X090	ENSG00000160752	FDPS	Predicted mitochondrial	fn	FRENKI
A0A087X0Q9	ENSG00000073169	SELENOO	Predicted mitochondrial	fn	FRENKI
A0A087X0V6	ENSG00000117481	NSUN4	Known mitochondrial	fn	FRENKI
A0A087X0W7	ENSG00000119673	ACOT2	Known mitochondrial	fn	FRENKI
A0A087X0Z2	ENSG00000196236	XPNPEP3	Known mitochondrial	fn	FRENKI
A0A087X0Z7	ENSG00000100612	DHRS7	Predicted mitochondrial	fn	FRENKI
A0A087X114	ENSG00000139428	MMAB	Known mitochondrial	fn	FRENKI
A0A087X174	ENSG00000165949	IFI27	Known mitochondrial	fn	FRENKI
A0A087X1G1	ENSG00000128609	NDUFA5	Known mitochondrial	fn	FRENKI
A0A087X1G4	ENSG00000166321	NUDT13	Predicted mitochondrial	fn	FRENKI
A0A087X1I3	ENSG00000073578	SDHA	Known mitochondrial	fn	FRENKI
A0A087X1K9	ENSG00000120992	LYPLA1	Predicted mitochondrial	fn	FRENKI
A0A087X1N6	ENSG00000196072	BLOC1S2	Known mitochondrial	fn	FRENKI
A0A087X1S1	ENSG00000120662	MTRF1	Known mitochondrial	fn	FRENKI
A0A087X1Z2	ENSG00000115468	EFHD1	Known mitochondrial	fn	FRENKI
A0A087X215	ENSG00000172270	BSG	Predicted mitochondrial	fn	FRENKI
A0A087X253	ENSG00000006125	AP2B1	Predicted mitochondrial	fn	FRENKI
A0A087X2B9	ENSG00000173660	UQCRH	Known mitochondrial	fn	FRENKI
A0A087X2D5	ENSG00000278845	MRPL45	Known mitochondrial	fn	FRENKI
A0A087X2E5	ENSG00000101365	IDH3B	Known mitochondrial	fn	FRENKI
A0A087X2I2	ENSG00000167468	GPX4	Known mitochondrial	fn	FRENKI
A0A096LP96	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A096LPB7	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A096LPD9	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A096LPH4	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A096LPK7	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A0A0MQX2	ENSG00000124532	MRS2	Known mitochondrial	fn	FRENKI
A0A0A0MQZ4	ENSG00000163644	PPM1K	Known mitochondrial	fn	FRENKI
A0A0A0MR33	ENSG00000100577	GSTZ1	Known mitochondrial	fn	FRENKI
A0A0A0MR51	ENSG00000149485	FADS1	Known mitochondrial	fn	FRENKI
A0A0A0MR90	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	FRENKI
A0A0A0MRB0	ENSG00000189283	FHIT	Predicted mitochondrial	fn	FRENKI
A0A0A0MRC3	ENSG00000156113	KCNMA1	Known mitochondrial	fn	FRENKI
A0A0A0MRF4	ENSG00000115364	MRPL19	Known mitochondrial	fn	FRENKI
A0A0A0MRG8	ENSG00000030110	BAK1	Known mitochondrial	fn	FRENKI
A0A0A0MRJ6	ENSG00000120265	PCMT1	Predicted mitochondrial	fn	FRENKI
A0A0A0MRK6	ENSG00000173171	MTX1	Known mitochondrial	fn	FRENKI
A0A0A0MRN6	ENSG00000137944	KYAT3	Known mitochondrial	fn	FRENKI
A0A0A0MRP1	ENSG00000137968	SLC44A5	Predicted mitochondrial	fn	FRENKI
A0A0A0MRQ5	ENSG00000117450	PRDX1	Predicted mitochondrial	fn	FRENKI
A0A0A0MRR0	ENSG00000156113	KCNMA1	Known mitochondrial	fn	FRENKI
A0A0A0MRW7	ENSG00000137074	APTX	Known mitochondrial	fn	FRENKI
A0A0A0MRX9	ENSG00000107959	PITRM1	Known mitochondrial	fn	FRENKI
A0A0A0MS24	ENSG00000077157	PPP1R12B	Predicted mitochondrial	fn	FRENKI
A0A0A0MS29	ENSG00000168958	MFF	Known mitochondrial	fn	FRENKI
A0A0A0MS36	ENSG00000162836	ACP6	Known mitochondrial	fn	FRENKI
A0A0A0MS56	ENSG00000172955	ADH6	Predicted mitochondrial	fn	FRENKI
A0A0A0MS74	ENSG00000100889	PCK2	Known mitochondrial	fn	FRENKI
A0A0A0MSC8	ENSG00000184347	SLIT3	Known mitochondrial	fn	FRENKI
A0A0A0MSE2	ENSG00000138796	HADH	Known mitochondrial	fn	FRENKI
A0A0A0MSE6	ENSG00000156113	KCNMA1	Known mitochondrial	fn	FRENKI
A0A0A0MSI5	ENSG00000183597	TANGO2	Known mitochondrial	fn	FRENKI
A0A0A0MSK2	ENSG00000229833	PET100	Known mitochondrial	fn	FRENKI
A0A0A0MSQ0	ENSG00000102024	PLS3	Predicted mitochondrial	fn	FRENKI
A0A0A0MSU4	ENSG00000141338	ABCA8	Predicted mitochondrial	fn	FRENKI
A0A0A0MSY7	ENSG00000166548	TK2	Known mitochondrial	fn	FRENKI
A0A0A0MSZ4	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0A0MT16	ENSG00000179869	ABCA13	Predicted mitochondrial	fn	FRENKI
A0A0A0MT55	ENSG00000123453	SARDH	Known mitochondrial	fn	FRENKI
A0A0A0MT64	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0A0MT83	ENSG00000128928	IVD	Known mitochondrial	fn	FRENKI
A0A0A0MTC0	ENSG00000164306	PRIMPOL	Known mitochondrial	fn	FRENKI
A0A0A0MTE8	ENSG00000166833	NAV2	Predicted mitochondrial	fn	FRENKI
A0A0A0MTG1	ENSG00000137411	VARS2	Known mitochondrial	fn	FRENKI
A0A0A0MTI5	ENSG00000155368	DBI	Known mitochondrial	fn	FRENKI
A0A0A0MTJ1	ENSG00000105701	FKBP8	Known mitochondrial	fn	FRENKI
A0A0A0MTL4	ENSG00000166833	NAV2	Predicted mitochondrial	fn	FRENKI
A0A0A0MTN9	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0A0MTQ5	ENSG00000156411	C14orf2	Known mitochondrial	fn	FRENKI
A0A0A0MTR6	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0A0MTS3	ENSG00000152234	ATP5A1	Known mitochondrial	fn	FRENKI
A0A0A0MTS8	ENSG00000267673	FDX2	Known mitochondrial	fn	FRENKI
A0A0B4J1R2	ENSG00000111058	ACSS3	Known mitochondrial	fn	FRENKI
A0A0B4J1W9	ENSG00000132155	RAF1	Known mitochondrial	fn	FRENKI
A0A0B4J212	ENSG00000188343	FAM92A	Predicted mitochondrial	fn	FRENKI
A0A0B4J213	ENSG00000156482	RPL30	Predicted mitochondrial	fn	FRENKI
A0A0B4J221	ENSG00000148950	IMMP1L	Known mitochondrial	fn	FRENKI
A0A0B4J230	ENSG00000130770	ATPIF1	Known mitochondrial	fn	FRENKI
A0A0B4J247	ENSG00000197969	VPS13A	Predicted mitochondrial	fn	FRENKI
A0A0B4J252	ENSG00000089060	SLC8B1	Known mitochondrial	fn	FRENKI
A0A0B4J298	ENSG00000217930	PAM16	Known mitochondrial	fn	FRENKI
A0A0B4J2A3	ENSG00000167641	PPP1R14A	Predicted mitochondrial	fn	FRENKI
A0A0B4J2A4	ENSG00000167315	ACAA2	Known mitochondrial	fn	FRENKI
A0A0B4J2C1	ENSG00000111639	MRPL51	Known mitochondrial	fn	FRENKI
A0A0C4DFM0	ENSG00000100577	GSTZ1	Known mitochondrial	fn	FRENKI
A0A0C4DFM1	ENSG00000101337	TM9SF4	Predicted mitochondrial	fn	FRENKI
A0A0C4DFN1	ENSG00000171109	MFN1	Known mitochondrial	fn	FRENKI
A0A0C4DFN8	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0C4DFQ1	ENSG00000173171	MTX1	Known mitochondrial	fn	FRENKI
A0A0C4DFQ6	ENSG00000185818	NAT8L	Known mitochondrial	fn	FRENKI
A0A0C4DFQ8	ENSG00000188611	ASAH2	Known mitochondrial	fn	FRENKI
A0A0C4DFU1	ENSG00000112096	SOD2	Known mitochondrial	fn	FRENKI
A0A0C4DFU2	ENSG00000112096	SOD2	Known mitochondrial	fn	FRENKI
A0A0C4DFU3	ENSG00000130363	RSPH3	Predicted mitochondrial	fn	FRENKI
A0A0C4DG02	ENSG00000119772	DNMT3A	Known mitochondrial	fn	FRENKI
A0A0C4DG06	ENSG00000138095	LRPPRC	Known mitochondrial	fn	FRENKI
A0A0C4DG17	ENSG00000168028	RPSA	Predicted mitochondrial	fn	FRENKI
A0A0C4DG29	ENSG00000130363	RSPH3	Predicted mitochondrial	fn	FRENKI
A0A0C4DG32	ENSG00000184903	IMMP2L	Known mitochondrial	fn	FRENKI
A0A0C4DG56	ENSG00000112096	SOD2	Known mitochondrial	fn	FRENKI
A0A0C4DG60	ENSG00000163738	MTHFD2L	Known mitochondrial	fn	FRENKI
A0A0C4DG91	ENSG00000172113	NME6	Known mitochondrial	fn	FRENKI
A0A0C4DGA0	ENSG00000168237	GLYCTK	Known mitochondrial	fn	FRENKI
A0A0C4DGA2	ENSG00000198721	ECI2	Known mitochondrial	fn	FRENKI
A0A0C4DGB9	ENSG00000138777	PPA2	Known mitochondrial	fn	FRENKI
A0A0C4DGG2	ENSG00000170516	COX7B2	Known mitochondrial	fn	FRENKI
A0A0C4DGH6	ENSG00000111647	UHRF1BP1L	Predicted mitochondrial	fn	FRENKI
A0A0C4DGI3	ENSG00000062485	CS	Known mitochondrial	fn	FRENKI
A0A0C4DGJ8	ENSG00000205707	ETFRF1	Predicted mitochondrial	fn	FRENKI
A0A0C4DGL3	ENSG00000128951	DUT	Known mitochondrial	fn	FRENKI
A0A0C4DGN7	ENSG00000161513	FDXR	Known mitochondrial	fn	FRENKI
A0A0C4DGP8	ENSG00000121289	CEP89	Known mitochondrial	fn	FRENKI
A0A0C4DGQ8	ENSG00000109016	DHRS7B	Predicted mitochondrial	fn	FRENKI
A0A0C4DGR6	ENSG00000156398	SFXN2	Predicted mitochondrial	fn	FRENKI
A0A0C4DGS0	ENSG00000184983	NDUFA6	Known mitochondrial	fn	FRENKI
A0A0C4DGU2	ENSG00000132763	MMACHC	Predicted mitochondrial	fn	FRENKI
A0A0C4DGV3	ENSG00000152620	NADK2	Known mitochondrial	fn	FRENKI
A0A0C4DH44	ENSG00000156482	RPL30	Predicted mitochondrial	fn	FRENKI
A0A0D9SEI0	ENSG00000130349	C6orf203	Predicted mitochondrial	fn	FRENKI
A0A0D9SEI7	ENSG00000214114	MYCBP	Known mitochondrial	fn	FRENKI
A0A0D9SEV0	ENSG00000039650	PNKP	Known mitochondrial	fn	FRENKI
A0A0D9SFJ1	ENSG00000119723	COQ6	Known mitochondrial	fn	FRENKI
A0A0D9SFL2	ENSG00000039650	PNKP	Known mitochondrial	fn	FRENKI
A0A0D9SFM1	ENSG00000140521	POLG	Known mitochondrial	fn	FRENKI
A0A0D9SFS3	ENSG00000105953	OGDH	Known mitochondrial	fn	FRENKI
A0A0J9YWF7	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A0U1RQF8	ENSG00000136143	SUCLA2	Known mitochondrial	fn	FRENKI
A0A0U1RQI2	ENSG00000129422	MTUS1	Known mitochondrial	fn	FRENKI
A0A0U1RQK3	ENSG00000256053	APOPT1	Known mitochondrial	fn	FRENKI
A0A0U1RQM3	ENSG00000136371	MTHFS	Known mitochondrial	fn	FRENKI
A0A0U1RQS9	ENSG00000256053	APOPT1	Known mitochondrial	fn	FRENKI
A0A0U1RQT4	ENSG00000179152	TCAIM	Known mitochondrial	fn	FRENKI
A0A0U1RQY8	ENSG00000123191	ATP7B	Known mitochondrial	fn	FRENKI
A0A0U1RR64	ENSG00000169519	METTL15	Known mitochondrial	fn	FRENKI
A0A0U1RR76	ENSG00000169519	METTL15	Known mitochondrial	fn	FRENKI
A0A0U1RRD2	ENSG00000169519	METTL15	Known mitochondrial	fn	FRENKI
A0A0U1RRF2	ENSG00000169519	METTL15	Known mitochondrial	fn	FRENKI
A0A0U1RRK1	ENSG00000107745	MICU1	Known mitochondrial	fn	FRENKI
A0A0U1RRL8	ENSG00000006282	SPATA20	Known mitochondrial	fn	FRENKI
A0A140T9V3	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A140TA84	ENSG00000174917	C19orf70	Known mitochondrial	fn	FRENKI
A0A140TA86	ENSG00000174917	C19orf70	Known mitochondrial	fn	FRENKI
A0A182DWF2	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A182DWF3	ENSG00000184470	TXNRD2	Known mitochondrial	fn	FRENKI
A0A1B0GTA6	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTA8	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GTB8	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GTD4	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTG2	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GTJ4	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GTL5	ENSG00000135631	RAB11FIP5	Known mitochondrial	fn	FRENKI
A0A1B0GTL9	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GTM0	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GTM2	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GTM3	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTP7	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTQ6	ENSG00000140521	POLG	Known mitochondrial	fn	FRENKI
A0A1B0GTQ7	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTV8	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GTX9	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GTY9	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GTZ5	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GU06	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GU55	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GU66	ENSG00000039650	PNKP	Known mitochondrial	fn	FRENKI
A0A1B0GUA1	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GUA4	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUB8	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GUD9	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GUE3	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUG1	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUH5	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUJ2	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUP1	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUQ5	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GUU7	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GV11	ENSG00000198689	SLC9A6	Known mitochondrial	fn	FRENKI
A0A1B0GV49	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GV75	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GV88	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVA3	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVA8	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVF3	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GVG2	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVJ1	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVL2	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GVP5	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GVY5	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GW29	ENSG00000198689	SLC9A6	Known mitochondrial	fn	FRENKI
A0A1B0GW30	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GW48	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GW65	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GW68	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1B0GW77	ENSG00000164904	ALDH7A1	Known mitochondrial	fn	FRENKI
A0A1B0GWC0	ENSG00000157184	CPT2	Known mitochondrial	fn	FRENKI
A0A1B0GWC4	ENSG00000145020	AMT	Known mitochondrial	fn	FRENKI
A0A1B0GWC9	ENSG00000104763	ASAH1	Predicted mitochondrial	fn	FRENKI
A0A1C7CYY3	ENSG00000068615	REEP1	Known mitochondrial	fn	FRENKI
