"Gen"	"UniProt"
"ENSG00000062485"	"F8W4S1"
"ENSG00000062485"	"F8W642"
"ENSG00000062485"	"H0YH82"
"ENSG00000062485"	"H0YIC4"
"ENSG00000062485"	"O75390"
"ENSG00000062582"	"F8VYR5"
"ENSG00000062582"	"Q96EL2"
"ENSG00000063241"	"K7EKW4"
"ENSG00000063241"	"K7ENV7"
"ENSG00000063241"	"Q96AB3"
"ENSG00000063761"	"F8W9Q8"
"ENSG00000063761"	"G3V3J2"
"ENSG00000063761"	"G3V426"
"ENSG00000063761"	"Q86TW2"
"ENSG00000063854"	"H3BPK3"
"ENSG00000063854"	"H3BPQ4"
"ENSG00000063854"	"H3BQW8"
"ENSG00000063854"	"H3BV79"
"ENSG00000063854"	"Q16775"
"ENSG00000065057"	"H3BPD5"
"ENSG00000065057"	"H3BRL9"
"ENSG00000065057"	"H3BUV2"
"ENSG00000065057"	"P78549"
"ENSG00000065060"	"H7C1J4"
"ENSG00000065060"	"Q6BDS2"
"ENSG00000065154"	"P04181"
"ENSG00000065427"	"H3BMR9"
"ENSG00000065427"	"H3BPV7"
"ENSG00000065427"	"H3BQK5"
"ENSG00000065427"	"H3BRC9"
"ENSG00000065427"	"H3BSN6"
"ENSG00000065427"	"H3BVA8"
"ENSG00000065427"	"J3KRL2"
"ENSG00000065427"	"Q15046"
"ENSG00000065518"	"C9JXQ9"
"ENSG00000065518"	"F2Z3P9"
"ENSG00000065518"	"O95168"
"ENSG00000065911"	"B8ZZU9"
"ENSG00000065911"	"B9A062"
"ENSG00000065911"	"F8WF06"
"ENSG00000065911"	"F8WF89"
"ENSG00000065911"	"P13995"
"ENSG00000066651"	"K7EJQ4"
"ENSG00000066651"	"K7ENP1"
"ENSG00000066651"	"K7EPZ4"
"ENSG00000066651"	"Q5JY01"
"ENSG00000066651"	"Q5JY02"
"ENSG00000066651"	"Q7Z4G4"
"ENSG00000066651"	"V9GXZ6"
"ENSG00000066739"	"Q96BY7"
"ENSG00000066813"	"A0A087WU25"
"ENSG00000066813"	"H3BM61"
"ENSG00000066813"	"H3BNJ9"
"ENSG00000066813"	"H3BP39"
"ENSG00000066813"	"H3BP79"
"ENSG00000066813"	"H3BQ84"
"ENSG00000066813"	"H3BRR3"
"ENSG00000066813"	"H3BTX9"
"ENSG00000066813"	"Q68CK6"
"ENSG00000066855"	"E5RIB6"
"ENSG00000066855"	"H0YBZ4"
"ENSG00000066855"	"H0YF01"
"ENSG00000066855"	"H7C5V5"
"ENSG00000066855"	"Q15390"
"ENSG00000066926"	"K7EJM8"
"ENSG00000066926"	"K7EJX5"
"ENSG00000066926"	"K7EKP7"
"ENSG00000066926"	"K7ELX4"
"ENSG00000066926"	"K7EPN2"
"ENSG00000066926"	"P22830"
"ENSG00000067177"	"A6NIT2"
"ENSG00000067177"	"A6NMN0"
"ENSG00000067177"	"P46020"
"ENSG00000067225"	"B4DNK4"
"ENSG00000067225"	"H3BN34"
"ENSG00000067225"	"H3BQ34"
"ENSG00000067225"	"H3BQZ3"
"ENSG00000067225"	"H3BR70"
"ENSG00000067225"	"H3BT25"
"ENSG00000067225"	"H3BTJ2"
"ENSG00000067225"	"H3BTN5"
"ENSG00000067225"	"H3BU13"
"ENSG00000067225"	"H3BUW1"
"ENSG00000067225"	"P14618"
"ENSG00000067560"	"C9JNR4"
"ENSG00000067560"	"C9JRM1"
"ENSG00000067560"	"C9JX21"
"ENSG00000067560"	"P61586"
"ENSG00000067704"	"Q9NSE4"
"ENSG00000067829"	"E7EQB8"
"ENSG00000067829"	"E9PF84"
"ENSG00000067829"	"G5E9Q7"
"ENSG00000067829"	"H0Y5Q7"
"ENSG00000067829"	"H7C1W2"
"ENSG00000067829"	"P51553"
"ENSG00000067992"	"Q15120"
"ENSG00000068097"	"A0A087WXZ7"
"ENSG00000068097"	"K7EIX2"
"ENSG00000068097"	"K7EK31"
"ENSG00000068097"	"K7EKB1"
"ENSG00000068097"	"K7EKF5"
"ENSG00000068097"	"K7EKW7"
"ENSG00000068097"	"K7ELA5"
"ENSG00000068097"	"K7ELR8"
"ENSG00000068097"	"K7ESP5"
"ENSG00000068097"	"Q6AI08"
"ENSG00000068120"	"K7EN91"
"ENSG00000068120"	"K7EP09"
"ENSG00000068120"	"K7EPC2"
"ENSG00000068120"	"K7EPT0"
"ENSG00000068120"	"K7EQ60"
"ENSG00000068120"	"K7ES73"
"ENSG00000068120"	"K7ESK6"
"ENSG00000068120"	"Q13057"
"ENSG00000068366"	"A0A0C4DGB7"
"ENSG00000068366"	"D6RD96"
"ENSG00000068366"	"D6RDA8"
"ENSG00000068366"	"D6RF95"
"ENSG00000068366"	"D6RFW9"
"ENSG00000068366"	"H0Y9A0"
"ENSG00000068366"	"O60488"
"ENSG00000068615"	"A0A1C7CYY3"
"ENSG00000068615"	"E7EUF7"
"ENSG00000068615"	"Q9H902"
"ENSG00000068615"	"U3KPV7"
"ENSG00000068784"	"Q8N5C6"
"ENSG00000069509"	"Q8IVP5"
"ENSG00000069535"	"P27338"
"ENSG00000069998"	"A8MYZ9"
"ENSG00000069998"	"Q9BXW7"
"ENSG00000070081"	"A0A087WSV8"
"ENSG00000070081"	"A0A1B0GXJ7"
"ENSG00000070081"	"E9PJP3"
"ENSG00000070081"	"E9PKG6"
"ENSG00000070081"	"E9PLE9"
"ENSG00000070081"	"E9PLR0"
"ENSG00000070081"	"E9PLR5"
"ENSG00000070081"	"E9PM22"
"ENSG00000070081"	"E9PRQ3"
"ENSG00000070081"	"H0YD18"
"ENSG00000070081"	"H0YEG8"
"ENSG00000070081"	"P80303"
"ENSG00000070081"	"Q2L696"
"ENSG00000070214"	"Q8WWI5"
"ENSG00000072062"	"K7EMV1"
"ENSG00000072062"	"K7ENJ5"
"ENSG00000072062"	"K7ERP6"
"ENSG00000072062"	"P17612"
"ENSG00000072062"	"Q15136"
"ENSG00000072110"	"G3V2E8"
"ENSG00000072110"	"G3V2N5"
"ENSG00000072110"	"G3V2W4"
"ENSG00000072110"	"G3V2X9"
"ENSG00000072110"	"G3V380"
"ENSG00000072110"	"G3V5M4"
"ENSG00000072110"	"H0YJ11"
"ENSG00000072110"	"H0YJW3"
"ENSG00000072110"	"H7C5W8"
"ENSG00000072110"	"H9KV75"
"ENSG00000072110"	"P12814"
"ENSG00000072133"	"Q9UK32"
"ENSG00000072210"	"C9JGJ2"
"ENSG00000072210"	"I3L0X1"
"ENSG00000072210"	"I3L1M4"
"ENSG00000072210"	"I3L2W1"
"ENSG00000072210"	"I3L4G6"
"ENSG00000072210"	"J3KTD9"
"ENSG00000072210"	"J3KTG1"
"ENSG00000072210"	"J3QKK9"
"ENSG00000072210"	"J3QQV9"
"ENSG00000072210"	"J3QRD1"
"ENSG00000072210"	"J3QS00"
"ENSG00000072210"	"K7EN73"
"ENSG00000072210"	"P51648"
"ENSG00000072274"	"F8WBE5"
"ENSG00000072274"	"G3V0E5"
"ENSG00000072274"	"H7C3V5"
"ENSG00000072274"	"P02786"
"ENSG00000072506"	"Q5H928"
"ENSG00000072506"	"Q99714"
"ENSG00000072756"	"C9JRS7"
"ENSG00000072756"	"F8W8C3"
"ENSG00000072756"	"Q96Q11"
"ENSG00000072778"	"G3V1M7"
"ENSG00000072778"	"J3KS89"
"ENSG00000072778"	"J3KSR4"
"ENSG00000072778"	"J3QKU9"
"ENSG00000072778"	"J3QRJ8"
"ENSG00000072778"	"J9JID6"
"ENSG00000072778"	"K7EJW8"
"ENSG00000072778"	"K7EMF8"
"ENSG00000072778"	"K7EQP4"
"ENSG00000072778"	"P49748"
"ENSG00000073169"	"A0A087X0Q9"
"ENSG00000073169"	"Q9BVL4"
"ENSG00000073578"	"A0A087X1I3"
"ENSG00000073578"	"D6REB7"
"ENSG00000073578"	"D6RFM5"
"ENSG00000073578"	"H0Y8S2"
"ENSG00000073578"	"H0Y8X1"
"ENSG00000073578"	"P31040"
"ENSG00000074071"	"C9JJ19"
"ENSG00000074071"	"P82930"
"ENSG00000074582"	"C9J1S9"
"ENSG00000074582"	"C9J4Q9"
"ENSG00000074582"	"C9J8G3"
"ENSG00000074582"	"C9JAS4"
"ENSG00000074582"	"H7BZF6"
"ENSG00000074582"	"H7C492"
"ENSG00000074582"	"Q9Y276"
"ENSG00000074695"	"P49257"
"ENSG00000074755"	"I3L141"
"ENSG00000074755"	"I3L1Q8"
"ENSG00000074755"	"I3L2N1"
"ENSG00000074755"	"I3L3Q3"
"ENSG00000074755"	"O43149"
"ENSG00000074800"	"K7EM90"
"ENSG00000074800"	"K7ERS8"
"ENSG00000074800"	"P06733"
"ENSG00000075035"	"F8W030"
"ENSG00000075035"	"Q2TBF2"
"ENSG00000075239"	"E9PKF3"
"ENSG00000075239"	"E9PRQ6"
"ENSG00000075239"	"H0YEL7"
"ENSG00000075239"	"P24752"
"ENSG00000075240"	"H0Y5A3"
"ENSG00000075240"	"Q6IC98"
"ENSG00000075240"	"X6RHZ2"
"ENSG00000075240"	"X6RIP6"
"ENSG00000075303"	"F2Z3Q4"
"ENSG00000075303"	"F8WEL8"
"ENSG00000075303"	"Q8TBP6"
"ENSG00000075336"	"J3KRJ3"
"ENSG00000075336"	"J3QRI1"
"ENSG00000075336"	"Q9BVV7"
"ENSG00000075415"	"F8VVM2"
"ENSG00000075415"	"F8VWQ0"
"ENSG00000075415"	"F8VWR4"
"ENSG00000075415"	"F8VY00"
"ENSG00000075415"	"F8VYH5"
"ENSG00000075415"	"F8VZL5"
"ENSG00000075415"	"Q00325"
"ENSG00000075624"	"C9JTX5"
"ENSG00000075624"	"C9JUM1"
"ENSG00000075624"	"C9JZR7"
"ENSG00000075624"	"E7EVS6"
"ENSG00000075624"	"G5E9R0"
"ENSG00000075624"	"P60709"
"ENSG00000076043"	"F5GYG5"
"ENSG00000076043"	"F5H6P8"
"ENSG00000076043"	"F5H784"
"ENSG00000076043"	"F5H7P1"
"ENSG00000076043"	"H0YF66"
"ENSG00000076043"	"H0YG37"
"ENSG00000076043"	"H0YG54"
"ENSG00000076043"	"H0YGR4"
"ENSG00000076043"	"Q9BTR4"
"ENSG00000076043"	"Q9Y3B8"
"ENSG00000076248"	"F5GYA2"
"ENSG00000076248"	"P13051"
"ENSG00000076248"	"Q68DM5"
"ENSG00000076555"	"A0A087WUA1"
"ENSG00000076555"	"F5H5C3"
"ENSG00000076555"	"F8W8T8"
"ENSG00000076555"	"H0YGH5"
"ENSG00000076555"	"O00763"
"ENSG00000076555"	"S4R3S7"
"ENSG00000077157"	"A0A0U1RQI8"
"ENSG00000077157"	"A0A0U1RQP2"
"ENSG00000077157"	"E1CKY7"
"ENSG00000077157"	"H7C4R6"
"ENSG00000077157"	"O60237"
"ENSG00000077157"	"Q6GQY8"
"ENSG00000077713"	"Q8WUT9"
"ENSG00000078070"	"E9PG35"
"ENSG00000078070"	"E9PHF7"
"ENSG00000078070"	"F2Z2Z7"
"ENSG00000078070"	"F2Z3E2"
"ENSG00000078070"	"F5GYT8"
"ENSG00000078070"	"F8WDI3"
"ENSG00000078070"	"F8WF46"
"ENSG00000078070"	"G5E9X5"
"ENSG00000078070"	"Q96RQ3"
"ENSG00000078668"	"E5RFL1"
"ENSG00000078668"	"E5RFP6"
"ENSG00000078668"	"E5RHE1"
"ENSG00000078668"	"E5RHZ6"
"ENSG00000078668"	"E5RJN6"
"ENSG00000078668"	"E5RK27"
"ENSG00000078668"	"Q9Y277"
"ENSG00000080815"	"E7ES96"
"ENSG00000080815"	"G3V2B1"
"ENSG00000080815"	"G3V2G7"
"ENSG00000080815"	"G3V3P0"
"ENSG00000080815"	"G3V3Z0"
"ENSG00000080815"	"G3V449"
"ENSG00000080815"	"G3V490"
"ENSG00000080815"	"G3V499"
"ENSG00000080815"	"G3V4M0"
"ENSG00000080815"	"G3V4P4"
"ENSG00000080815"	"G3V519"
"ENSG00000080815"	"G3V5B1"
"ENSG00000080815"	"H0YM52"
"ENSG00000080815"	"H0YNU4"
"ENSG00000080815"	"P49768"
"ENSG00000080819"	"D6RER6"
"ENSG00000080819"	"H0YA22"
"ENSG00000080819"	"P36551"
"ENSG00000081177"	"C9JLF4"
"ENSG00000081177"	"Q9NVH0"
"ENSG00000081181"	"P78540"
"ENSG00000081791"	"D6RBI8"
"ENSG00000081791"	"H0YA48"
"ENSG00000081791"	"Q14154"
"ENSG00000082212"	"A0A1W2PPH1"
"ENSG00000082212"	"A0A1W2PPY2"
"ENSG00000082212"	"A0A1W2PQ37"
"ENSG00000082212"	"A0A1W2PQF8"
"ENSG00000082212"	"A0A1W2PQH3"
"ENSG00000082212"	"A0A1W2PQH4"
"ENSG00000082212"	"A0A1W2PQT3"
"ENSG00000082212"	"A0A1W2PQY8"
"ENSG00000082212"	"A0A1W2PR68"
"ENSG00000082212"	"A0A1W2PRH1"
"ENSG00000082212"	"A0A1W2PRS2"
"ENSG00000082212"	"A0A1W2PRY9"
"ENSG00000082212"	"P23368"
"ENSG00000082515"	"E7ESL0"
"ENSG00000082515"	"H0YBZ7"
"ENSG00000082515"	"J3KQY1"
"ENSG00000082515"	"Q9NWU5"
"ENSG00000083099"	"E5RG38"
"ENSG00000083099"	"E5RJK7"
"ENSG00000083099"	"G3V136"
"ENSG00000083099"	"Q9NU23"
"ENSG00000083123"	"P21953"
"ENSG00000083720"	"E9PDW2"
"ENSG00000083720"	"P55809"
"ENSG00000084090"	"C9JTD3"
"ENSG00000084090"	"Q9NQZ5"
"ENSG00000084092"	"Q8NC60"
"ENSG00000084207"	"A0A087X243"
"ENSG00000084207"	"A0A087X2E9"
"ENSG00000084207"	"A8MX94"
"ENSG00000084207"	"P09211"
"ENSG00000084754"	"H0YFD6"
"ENSG00000084754"	"P40939"
"ENSG00000085491"	"H3BMI3"
"ENSG00000085491"	"J3KN42"
"ENSG00000085491"	"Q6NUK1"
"ENSG00000085662"	"E9PCX2"
